"Actual Amount","Sales $  - Returned Amount $"
"Amount %","Sales Amount Ratio"
"Average Price","Average Unit Price"
"Base Category","Main Category"
"Bottom Category","Sub-Sub-Category"
"Bottom-Category","3rd Category"
"Canceled At","Cancel Date"
"Carrier","Shipping Company"
"Category","Sub-Category"
"Category Actual Amount","Sales Amount $"
"Coupon Code","Promotion Code"
"Coupon Count","Coupon Qty"
"Coupon Sold Amount","Sales Amount $"
"Coupon Usage Count","No. of Coupon Used"
"Coupon Valid From","Start Date"
"Coupon Valid To","End Date"
"Customer Email","Email"
"Customer Group","Member Group"
"Detail Order #","Order ID"
"Discount Actual Amount","Amount $"
"Discount Amount","Discount $"
"Discount Range","Discount% Range"
"Discount Rate","Discount %"
"First Consumption At","1st Purchase Date"
"From Date","Start Date"
"Grand Total","Grand Total"
"Group by Category","By Category"
"Group by Style Number","By Style No."
"Last Consumption At","Last Purchase Date"
"Match Period To","Match Period To"
"Member Group","VIP Level"
"No. of Order","Orders"
"Order #","Order ID"
"Order Created At","Invoice Date"
"Order Discount Amount","Discount Amount $"
"Order Shipping Date","Order Shipped Date"
"Output Type","Display Methods"
"Paid At","Paid Date"
"Payment Account","Paid Account"
"Period","Period"
"Price","Original Price"
"Price Rule ID","Prices Rule No."
"Price Rule Name","Prices Rule Name"
"Product Actual Amount","Amount $"
"Product Created At","Created Date"
"Product Qty Actually Sold","Sales Qty"
"Qty %","Qty Ratio"
"Qty Actually Sold","Sales - Returned Qty"
"Qty Actually Sold by Customers","No. of Products"
"Qty Actually Sold Category","Qty"
"Qty Actually Sold Summary","Sales Qty- Returned Qty"
"Qty Ordered","Sales Qty"
"Qty Ordered Detail","Sales Qty"
"Qty Ratio Category","Sales Qty Ratio"
"Qty Returned","Returned Qty"
"Recipient","Ship to Name"
"Refunded Amount","Refunded Amount $"
"Return Request Type","Request Type"
"RMA #","RMA ID"
"RMA Amount","Amount $"
"RMA Qty","Qty"
"RMA Status","Status"
"Row Total","Total $"
"Sale Price","Sale Price $"
"Sales $ - Returned Amount $","Sales Amount $"
"Shipped At","Shipped Date"
"Net Sales Total","Net Sales Total $"
"Shipping Fee","Shipping Fee $"
"Shopping Cart Price Rule ID","Prices Rule No"
"Shopping Cart Price Rule Name","Prices Rule Name"
"Sold Amount","Sales Amount $"
"State/Province","Province/State"
"Street Address","Default Address"
"Style Number","Style No."
"Sub Category","Sub-Category"
"Sub-Category","2nd Category"
"Subtotal","Sales Amount $"
"Telephone","Phone"
"Telephone No.","Contact No."
"Tracking #","Tracking No."
"To Date","End Date"
"Total Actual Amount","Total Purchased Amount $"
"Used","Used? (Y/N)"
"Used at Time","Used Date"
"Username","Email"
"Valid Orders","Orders"
"VIP Group","VIP Level"
