"Promotional Gift","Promotional Gift"
"Shoppingcart Rule Manager","Shoppingcart Rule Manager"
"Add Rule","Add Rule"
"Report","Report"
"Catalog Rule Manager","Catalog Rule Manager"
"Rule Name","Rule Name"
"Coupon Code","Coupon Code"
"Date Start","Date Start"
"Date Expire","Date Expire"
"Status","Status"
"Priority","Priority"
"Action","Action"
"Edit","Edit"
"Save Rule","Save Rule"
"Delete Rule","Delete Rule"
"Save And Continue Edit","Save And Continue Edit"
"Edit Rule '%s'","Edit Rule '%s'"
"Rule Information","Rule Information"
"Conditions","Conditions"
"Gift Items","Gift Items"
"Name","Name"
"Attrib. Set Name","Attrib. Set Name"
"Visibility","Visibility"
"SKU","SKU"
"Price","Price"
"Gift Qty","Gift Qty"
"Description","Description"
"Websites","Websites"
"Customer Groups","Customer Groups"
"Coupon Type","Coupon Type"
"Uses Per Coupon","Uses Per Coupon"
"Time Used","Time Used"
"Start Date","Start Date"
"End Date","End Date"
"Promotional Gift Information","Promotional Gift Information"
"Number of Selectable Free Gifts","Number of Selectable Free Gifts"
"The maximum number of free gifts customers can select among provided gift items","The maximum number of free gifts customers can select among provided gift items"
"Apply the rule only if the following conditions are met (leave blank for all orders)","Apply the rule only if the following conditions are met (leave blank for all orders)"
"Chart Report","Chart Report"
"Order total","Order total"
"# Money ($)","# Money ($)"
"This graph shows the gift value and order total of all sales over time.","This graph shows the gift value and order total of all sales over time."
"Order Id","Order Id"
"Order Total","Order Total"
"Free Gift","Free Gift"
"Gift Value","Gift Value"
"Created Time","Created Time"
"View Product Detail","View Product Detail"
"View Order Detail","View Order Detail"
"Use Limit","Use Limit"
"This promotional gift cannot be added to cart.","This promotional gift cannot be added to cart."
" was added to your shopping cart."," was added to your shopping cart."
"Shoppingcart Rules","Shoppingcart Rules"
"Rule Manager","Rule Manager"
"Rule News","Rule News"
"Rule does not exist","Rule does not exist"
"This coupon code has been created in the other rule already!","This coupon code has been created in the other rule already!"
"Shopping cart rule has been successfully saved!","Shopping cart rule has been successfully saved!"
"Saving failed! Unable to find shoppingcart rule.","Saving failed! Unable to find shoppingcart rule."
"Shoppingcart rule was successfully deleted","Shoppingcart rule was successfully deleted"
"Catalog Rules","Catalog Rules"
"Catalog rule was successfully saved","Catalog rule was successfully saved"
"Unable to find catalog rule to save","Unable to find catalog rule to save"
"Rule was successfully deleted","Rule was successfully deleted"
"Enabled","Enabled"
"Disabled","Disabled"
" has been automatically added to your shopping cart as a free gift!"," has been automatically added to your shopping cart as a free gift!"
"Show it on cart","Show it on cart"
"Show it on checkout","Show it on checkout"
"Show it on cart and checkout","Show it on cart and checkout"
"Hide it","Hide it"
"Select Range","Select Range"
"No Data Found","No Data Found"
"Chart Report","Chart Report"
"Select your free gift(s)","Select your free gift(s)"
"Please select %s free gifts from the following items","Please select %s free gifts from the following items"
"Add To Cart","Add To Cart"
"Qty: %s","Qty: %s"
"Free Gift Campaigns","Free Gift Campaigns"
"Products Offered Free Gifts","Products Offered Free Gifts"
"There are no products matching the selection.","There are no products matching the selection."
"Loading","Loading"
"Continue shopping","Continue shopping"
"Go to Wishlist","Go to Wishlist"
"Addding to wishlist","Addding to wishlist"
"Adding to compare","Adding to compare"
"Updating total","Updating total"
"Removing","Removing"
"Are you sure you would like to remove this item from the shopping cart?","Are you sure you would like to remove this item from the shopping cart?"
"Updating Shopping Cart","Updating Shopping Cart"
"Adding","Adding"
"to cart","to cart"
"Getting a Quote","Getting a Quote"
"Close","Close"
"Checkout","Checkout"
"Free Gift","Free Gift"
