"free gift", "FREE GIFT"
"Order %s to get below free gifts", "Order %s to get below free gifts"
"free", "FREE"
"available as a gift", "AVAILABLE AS A GIFT"
"Free Gift", "Free Gift"
"Available as a gift %s", "Available as a gift %s"
"Replace current Gift", "REPLACE GIFT"
"Order %s to get below free gifts <br /> Gifts will be added to cart when purchased","Order %s to get below free gifts <br /> Gifts will be added to cart when purchased"
"Add to Cart","Add to Cart"
"You qualify for a gift for '%s'","You qualify for a gift for '%s'"
"Gift Label","Gift Label"
"Out of Stock","Out of Stock"
