"15 days by Alipay default","支付宝默认15天"
"1m to 15d, m - minutes, h - hours, d - days, 1c - current day. Integer values only","1m 到 15d, m - 分钟, h - 小时, d - 天, 1c - 当天. 仅接受整数值"
"Alipay","支付宝"
"Alipay Payment","支付宝"
"Customer was redirected to Alipay","用户被转向到支付宝"
"Seller Email","卖家电子邮件"
"Customer successfully returned from Alipay","用户成功从支付宝返回"
"Customer returned from Alipay.","用户从支付宝返回."
"Customize Timeout","自定义交易超时时间"
"Cannot retrieve order object","不能获取订单对象"
"Enabled","启用"
"Error occured","发生错误"
"Gateway","网关"
"Partner ID","伙伴ID"
"New order status","新订单状态"
"Transport","传输协议"
"Order %s","订单 %s"
"Order status when payment accepted by Alipay","当支付被支付宝接受后的订单状态"
"Order status when payment refused by Alipay","当支付被支付宝拒绝后的订单状态"
"Pay with Alipay","由第三方帐户支付"
"Pay with credit card","由信用卡支付"
"Pay with local bank account","由本地銀行卡帐户支付"
"Payment from Specific countries","具体可支付的国家"
"Payment from applicable countries","允许使用支付宝支付的国家"
"Payment accepted by Alipay","支付被支付宝受理"
"Payment refused by Alipay","支付被支付宝拒绝"
"Returned MAC is invalid. Order cancelled.","返回的MAC不可用. 订单被取消."
"Service Type","服务类型"
"Site code","站点代码"
"Sort order","排序"
"Security Code","安全码"
"There was an error occurred during paying process.","支付过程中出错."
"Timeout","交易超时时间"
"Title","标题"
"You will be redirected to payment page in a few seconds.","正在进入支付页面."
"You will be redirected to Alipay website when you place an order.","当您下单后，系统将带您转到支付宝网站"
"Online Bank","在线银行"
"Bank of China","中国银行"
"Industrial and Commercial Bank of China","中国工商银行"
"China Merchants Bank","招商银行"
"China Construction Bank","中国建设银行"
"Agricultural Bank of China","中国农业银行"
"SPD Bank","上海浦东发展银行"
"Xingye Bank","兴业银行"
"Guangdong Development Bank","广东发展银行"
"Shenzhen Development Bank","深圳发展银行"
"China Mingshen Banking","中国民生银行"
"Bank of Communications","交通银行"
"Zhongxin Bank","中信银行"
"Guangda Bank","光大银行"
"Bank of Ning Bo","宁波银行"
"Hangzhou Bank","杭州银行"
"Shanghai Bank","上海银行"
"Ping An Bank","平安银行"
"Beijing Rural Commercial Bank","北京农村商业银行"
"Fudian Bank","富滇银行"
"Postal Savings Bank of China","中国邮政储蓄银行"
"Beijing Bank","北京银行"
"Pay","付款"
