"Applies to Any of the Specified Order Statuses","应用于任何指定的订单状态"
"Match Period To","日期类型"
"Order Shipping Date","发货时间"
"Output Type","显示方式"
"Order Created Date","创建时间"
"Order Shipped Date","发货时间"
"Category Analysis Report","品类分析报表"
"Coupon Details Report","优惠券明细报表"
"Coupon Information Summary","优惠券信息汇总"
"Date","日期"
"Discount % Distribution Report","折扣带分析报表"
"GRI Customers Report","GRI会员报告"
"GRI Sales Report","GRI销售报告"
"Group by Category","按类别"
"Group by Style Number","按款号"
"No. of Order","订单数量"
"Order Details Report","订单明细报表"
"Orders Summary","订单信息汇总"
"Product Sales Rank","商品销售排名"
"Qty Ordered","销售件数"
"Qty Ordered Detail","数量"
"Returns & Exchanges Report","退换货报表"
"Sales Summary","销售总览"
"Sold Amount","销售金额"
"VIP Purchase Rank","会员消费排名"
"Qty Returned","退货件数"
"Refunded Amount","退货金额"
"Qty Actually Sold","销 - 退货件数"
"Actual Amount","销 - 退货金额"
"Summary","汇总"
"Category","小类"
"Style Number","款号"
"Style Name","款名"
"Total","合计"
"Order #","订单号"
"Detail Order #","订单编号"
"Product Name","商品名称"
"SKU","商品编码"
"Color","颜色"
"Size","尺码"
"Customer Email","用户电邮"
"Price","吊牌价"
"Sale Price","销售价"
"Discount Amount","优惠金额"
"Discount Rate","折扣"
"Row Total","销售金额"
"Brand","品牌"
"Base Category","大类"
"Sub Category","中类"
"Bottom Category","小类"
"RMA #","退换货单号"
"Return Request Type","类型"
"Product No.","商品编号"
"RMA Qty","件数"
"RMA Amount","金额"
"RMA Status","退货单状态"
"Payment Account","付款账号"
"Coupon Valid From","生效日期"
"Coupon Valid To","失效日期"
"Uses per Coupon","优惠券可使用次数"
"Uses per Customer",""
"Shopping Cart Price Rule ID","优惠规则号"
"Shopping Cart Price Rule Name","优惠规则名称"
"Coupon Code","优惠券代码"
"Price Rule ID","优惠规则号"
"Price Rule Name","优惠规则名称"
"From Date","生效日期"
"To Date","失效日期"
"Coupon Count","优惠券生成（张）"
"Coupon Usage Count","优惠券使用次数"
"Used","Is it used?"
"Used","是否使用？"
"Used at Time","优惠券使用日期"
"Categories","大类"
"Sub-Category","中类"
"Bottom-Category","小类"
"Qty %","件数占比"
"Qty Ratio","件数占比"
"Sales $ - Returned Amount $","商品销售金额"
"Amount %","金额占比"
"Average Price","平均单价"
"Product Qty Actually Sold","销售件数"
"Qty Ratio Category","数量占比"
"Product Created At","第一次上架时间"
"Discount Range","折扣带"
"Qty","销售件数"
"Sales Qty Ratio","销售件数占比"
"First Consumption At","第一次消费时间"
"Last Consumption At","最近一次消费时间"
"Customer Group","会员等级"
"Telephone","联系电话"
"Street Address","注册地址"
"State/Province","省份"
"Province","省份"
"City","城市"
"Address","详细地址"
"Username","用户电邮"
"Valid Orders","消费次数"
"Qty Actually Sold by Customers","消费件数"
"Total Actual Amount","消费金额"
"Discount Actual Amount","销售金额"
"Product Actual Amount","销售金额"
"Category Actual Amount","销售金额"
"Coupon Sold Amount","商品销售金额"
"Canceled At","取消时间"
"Shipped At","发货时间"
"Paid At","付款时间"
"Order Created At","创建时间"
"VIP Group","客户等级"
"Telephone No.","联系电话"
"Recipient","收货人"
"Payment Method","付款方式"
"Tracking #","运单号"
"Carrier","快递公司"
"Money Received $","应收金额"
"Shipping Fee","优惠"
"Order Discount Amount","优惠金额"
"Subtotal","商品销售金额"
"Qty Actually Sold Summary","销 - 退货件数"
"Qty Actually Sold Category","销售数量"
"Specified","指定"
"Suspected Fraud","虚假信息"
"Payment Review","支付预览"
