"%s Member","%s会员"
"SHOP NOW","立即购物赚取积分!"
"General","普通"
"Gold","金卡"
"How to be a VIP?","怎样成为 VIP?"
"Offline VIP","线下VIP"
"Point","积分"
"Points","积分"
"Points to upgrade to %s","升级到%s所需的积分"
"Silver","银卡"
"You are already %s Member!","您已是%s会员!"
"With every dollar you spend at Central/Central, one bonus point is added to your account.","您在熙熙网消费的每一元都会转换成积分添加到您的账户中。"
"Redeem your points from a range of exciting perfect gifts now - only for our members.","现在就去用您的积分兑换心动礼物吧，只有是我们的会员才可以哦"
"Please <a class=""uline"" href=""%s""><strong>login</strong></a> to check your bonus points.","请 <a class=""uline"" href=""%s""><strong>登录</strong></a> 检查你的积分余额"
"Not a member yet? Please <a class=""uline"" href=""%s""><strong>sign up</strong></a> now.","还不是会员吗? 请 <a class=""uline"" href=""%s""><strong>先注册下吧</strong></a>"
"Sign in as VIP","VIP登录"
"You can redeem your points for these rewards:","您可以用积分兑换这些礼物"
