"Add Recipient","添加收件人"
"Allow for Guests","允许游客"
"Email Address","电邮"
"Email Address:","电邮:"
"Email templates","电子邮件模板"
"Email to a Friend","分享此商品给您的朋友"
"Email:","电邮:"
"Enabled","启用"
"Limit Sending By","设寄送方式限制为"
"Link to a friend was sent.","给朋友的链接已发送。"
"Max Products Sent in 1 Hour","一小时最多可寄送的商品次数"
"Max Recipients","一次发送最多收件人"
"Maximum %d email addresses allowed.","可允许%d邮件地址。"
"Message:","内容:"
"Name","名字"
"Name:","名字:"
"Recipient:","收件人"
"Remove Email","删除"
"Select email template","选择邮件模板"
"Send email","发送邮件"
"Send product to a friend","分享此商品给朋友"
"Sender:","发件人"
"Send Email","发送邮件"
