"Cancel","取消"
"Your RMA has been placed and waiting for approval.","您的申請已經遞交，請耐心等候確認。"
"You have no completed orders to request RMA or your orders were placed more than 30 days ago","您沒有申請過退換貨或您的訂單是在30天之前下的。"
"Request RMA","退換貨申請"
"Confirm Shipping","確認發貨"
"Date","日期"
"Request Information","申請信息"
"Request Date:","申請日期："
"REQUESTED ITEMS","已經申請的商品"
"Leave Comment","寫下備註"
"Comment","備註"
"Messages History","訊息歷史"
"Order No:","訂單號:"
"Request Type:","申請類型:"
"Package Opened:","包裝已打開？"
"Upload","上載"
"Status:","狀態:"
"Status","狀態"
"Yes","是"
"No","否"
"Back","返回"
"Items Ordered","訂購的商品"
"Contact Information","聯繫人信息"
"First Name","名字"
"Last Name","姓氏"
"Company","公司"
"Telephone","電話"
"Fax","傳真號"
"Return Address","返貨地址"
"Street Address","街道地址"
"City","城市"
"State/Province","省份"
"Zip/Postal Code","郵編"
"Country","國家"
"Please select region, state or province","請選擇地區、省份"
"* Required Fields","* 必填項"
"Print Label","打印"
"RMA Reason","退貨/換貨原因"
"System","系統信息"
"Customer","顧客信息"
"Order Id","訂單號"
"E-mail","電郵地址"
"Return / Exchange","退換貨申請"
"Add New Request","添加申請"
"View","查看"
"Your Order","您的訂單"
"Item(s) needed to return.","退換的商品"
"Item Description","商品資料"
"Ref No.","商品號"
"Return Reason","退換原因"
"For defective merchandise,please upload a photo","請上傳一張照片以便檢查商品"
"Upload","上傳"
"Submit","提交"
"Another RMA for this product:","該商品已在退換申請:"
"Request Detail","退換貨信息"
"View Order","查看訂單"
"Cancel Request","取消退換貨"
"%s, %s at %s","%s, %s , %s"
"Leave a message","撰寫信息"
"Item(s) Needed To Return","退換的商品"
"Ticket No.","退換貨號"
"Request Status","請求狀態"
"Order No.#%s on %s, %s","訂單號: #%s 時間: %s 價錢: %s"
"Leave Comment","撰寫評論"
"Messages History","歷史記錄"
"Home","首頁"
"My Account","我的賬戶"
"Return or Exchange","退換貨申請"
"Return / Exchange","退換貨申請"
"View Order Detail","查看訂單資料"
"Color","顏色"
"Size","尺碼"
"For defective merchandise, please upload a photo","商品如有損壞，請上傳相片"
"You have no completed orders to request RMA or your orders were placed more than %s days ago","您沒有訂單或者您的訂單已超過%s天。"
