"15 days by Alipay default","支付寶默認15天"
"1m to 15d, m - minutes, h - hours, d - days, 1c - current day. Integer values only","1m 到 15d, m - 分鐘, h - 小時, d - 天, 1c - 當天. 僅接受整數值"
"Alipay","支付寶"
"Alipay Payment","支付寶"
"Customer was redirected to Alipay","用戶被轉向到支付寶"
"Seller Email","賣家電子郵件"
"Customer successfully returned from Alipay","用戶成功從支付寶返回"
"Customer returned from Alipay.","用戶從支付寶返回."
"Customize Timeout","自定義交易超時時間"
"Cannot retrieve order object","不能獲取訂單對像"
"Enabled","啟用"
"Error occured","發生錯誤"
"Gateway","網關"
"Partner ID","夥伴ID"
"New order status","新訂單狀態"
"Transport","傳輸協議"
"Order %s","訂單 %s"
"Order status when payment accepted by Alipay","當支付被支付寶接受後的訂單狀態"
"Order status when payment refused by Alipay","當支付被支付寶拒絕後的訂單狀態"
"Pay with Alipay","由第三方帳戶支付"
"Pay with credit card","由信用卡支付"
"Pay with local bank account","由本地銀行卡帳戶支付"
"Payment from Specific countries","具體可支付的國家"
"Payment from applicable countries","允許使用支付寶支付的國家"
"Payment accepted by Alipay","支付被支付寶受理"
"Payment refused by Alipay","支付被支付寶拒絕"
"Returned MAC is invalid. Order cancelled.","返回的MAC不可用. 訂單被取消."
"Service Type","服務類型"
"Site code","站點代碼"
"Sort order","排序"
"Security Code","安全碼"
"There was an error occurred during paying process.","支付過程中出錯."
"Timeout","交易超時時間"
"Title","標題"
"You will be redirected to payment page in a few seconds.","正在進入支付頁面."
"You will be redirected to Alipay website when you place an order.","當您下單後，系統將帶您轉到支付寶網站"
"Online Bank","在線銀行"
"Bank of China","中國銀行"
"Industrial and Commercial Bank of China","中國工商銀行"
"China Merchants Bank","招商銀行"
"China Construction Bank","中國建設銀行"
"Agricultural Bank of China","中國農業銀行"
"SPD Bank","上海浦東發展銀行"
"Xingye Bank","興業銀行"
"Guangdong Development Bank","廣東發展銀行"
"Shenzhen Development Bank","深圳發展銀行"
"China Mingshen Banking","中國民生銀行"
"Bank of Communications","交通銀行"
"Zhongxin Bank","中信銀行"
"Guangda Bank","光大銀行"
"Bank of Ning Bo","寧波銀行"
"Hangzhou Bank","杭州銀行"
"Shanghai Bank","上海銀行"
"Ping An Bank","平安銀行"
"Beijing Rural Commercial Bank","北京農村商業銀行"
"Fudian Bank","富滇銀行"
"Postal Savings Bank of China","中國郵政儲蓄銀行"
"Beijing Bank","北京銀行"
"Pay","付款"
