"CN","中國"
"HK","香港"
"MO","澳門"
"Other Central/Central sites will be launched soon. Stay tuned!","Other Central/Central sites will be launched soon. Stay tuned!<br/>（亞洲區）其他國家的銷售站點將於不久後正式上線，請關注我們的最新動態！"
"Stay here","Stay here<br/>留在這裡"
"Visit Hong Kong Site","Visit Hong Kong Site<br/>前往 Central/Central（香港）"
"Hong Kong SAR China","香港"
"Macau SAR China","澳門"
"Ships to: %s","配送至: %s"
"Ships to: %s only!","只配送至: %s"
"SHIP TO: %s","配送至: %s"
"SHIP TO: %s only!","只配送至: %s"
"Tote ","購物袋"
"Search","搜尋"
"Shop New In","新品"
"Follow","關注我們"
"Follow Us","關注我們"
"Sign Up For Newsletter","獲取最新資訊優惠"
"Sign Up For Special Promotions","獲取最新資訊優惠"
"Join","訂閱"
"Enter your email address","輸入您的電郵地址"
"Most Recent Views","最近關注"
"Product Name / Style No","商品名稱/款號"
"ALL Category","所有品類"
"View tote / Checkout","查看購物袋"
"Shipping will be calculated at checkout","運費會在購物袋中顯示"
"Dashboard","我的賬戶"
"Top","置頂"
"All","全部"
"Back","返回"
"Newslettter","電子報"
"Download our app","下載<br />應用程式"
"Download our cc app","下載<br />應用程式"
"JOIN","訂閱"
"Items","件"
