"Applies to Any of the Specified Order Statuses","應用於任何指定的訂單狀態"
"Match Period To","日期類型"
"Output Type","顯示方式"
"Order Created Date","創建時間"
"Order Shipped Date","發貨時間"
"Order Shipping Date","發貨時間"
"Category Analysis Report","品類分析報表"
"Coupon Details Report","優惠券明細報表"
"Coupon Information Summary","優惠券信息匯總"
"Date","日期"
"Discount % Distribution Report","折扣帶分析報表"
"GRI Customers Report","GRI會員報告"
"GRI Sales Report","GRI銷售報告"
"Group by Category","按類別"
"Group by Style Number","按款號"
"No. of Order","訂單數量"
"Order Details Report","訂單明細報表"
"Orders Summary","訂單信息匯總"
"Product Sales Rank","商品銷售排名"
"Qty Ordered","銷售件數"
"Qty Ordered Detail","數量"
"Returns & Exchanges Report","退換貨報表"
"Sales Summary","銷售總覽"
"Sold Amount","銷售金額"
"VIP Purchase Rank","會員消費排名"
"Qty Returned","退貨件數"
"Refunded Amount","退貨金額"
"Qty Actually Sold","銷 - 退貨件數"
"Actual Amount","銷 - 退貨金額"
"Summary","匯總"
"Category","小類"
"Style Number","款號"
"Style Name","款名"
"Total","合計"
"Order #","訂單號"
"Detail Order #","訂單編號"
"Product Name","商品名稱"
"SKU","商品編碼"
"Color","顏色"
"Size","尺碼"
"Customer Email","用戶電郵"
"Price","吊牌價"
"Sale Price","銷售價"
"Discount Amount","優惠金額"
"Discount Rate","折扣"
"Row Total","銷售金額"
"Brand","品牌"
"Base Category","大類"
"Sub Category","中類"
"Bottom Category","小類"
"RMA #","退換貨單號"
"Return Request Type","類型"
"Product No.","商品編號"
"RMA Qty","件數"
"RMA Amount","金額"
"RMA Status","退貨單狀態"
"Payment Account","付款賬號"
"Coupon Valid From","生效日期"
"Coupon Valid To","失效日期"
"Uses per Coupon","優惠券可使用次數"
"Shopping Cart Price Rule ID","優惠規則號"
"Shopping Cart Price Rule Name","優惠規則名稱"
"Coupon Code","優惠券代碼"
"Price Rule ID","優惠規則號"
"Price Rule Name","優惠規則名稱"
"From Date","生效日期"
"To Date","失效日期"
"Coupon Count","優惠券生成（張）"
"Coupon Usage Count","優惠券使用次數"
"Used","是否使用？"
"Used at Time","優惠券使用日期"
"Categories","大類"
"Sub-Category","中類"
"Bottom-Category","小類"
"Qty %","件數占比"
"Qty Ratio","件數占比"
"Sales $ - Returned Amount $","商品銷售金額"
"Amount %","金額占比"
"Average Price","平均單價"
"Product Qty Actually Sold","銷售件數"
"Qty Ratio Category","數量占比"
"Product Created At","第一次上架時間"
"Discount Range","折扣帶"
"Qty","銷售件數"
"Sales Qty Ratio","銷售件數占比"
"First Consumption At","第一次消費時間"
"Last Consumption At","最近一次消費時間"
"Customer Group","會員等級"
"Telephone","聯系電話"
"Street Address","注冊地址"
"State/Province","省份"
"Province","省份"
"City","城市"
"Address","詳細地址"
"Username","用戶電郵"
"Valid Orders","消費次數"
"Qty Actually Sold by Customers","消費件數"
"Total Actual Amount","消費金額"
"Discount Actual Amount","銷售金額"
"Product Actual Amount","銷售金額"
"Category Actual Amount","銷售金額"
"Coupon Sold Amount","商品銷售金額"
"Canceled At","取消時間"
"Shipped At","發貨時間"
"Paid At","付款時間"
"Order Created At","創建時間"
"VIP Group","客戶等級"
"Telephone No.","聯系電話"
"Recipient","收貨人"
"Payment Method","付款方式"
"Tracking #","運單號"
"Carrier","快遞公司"
"Grand Total","應收金額"
"Shipping Fee","優惠"
"Order Discount Amount","優惠金額"
"Subtotal","商品銷售金額"
"Qty Actually Sold Summary","銷 - 退貨件數"
"Qty Actually Sold Category","銷售數量"
"Specified","指定"
"Suspected Fraud","虛假信息"
"Payment Review","支付預覽"
