"Thank you for shopping with CCSHOP.COM! Here are your order details:","感謝您於CCSHOP.COM購物。以下是您的訂單詳情:"
"Dear ","親愛的 "
"Order No: #%s","訂單號: #%s"
"Date: %s","日期: %s"
"Item Description","商品資料"
"Order No.: #%s","訂單號: #%s"
"Date: %s","日期: %s"
"Recipient: %s","收件人: %s"
"Order Total: %s","金額: %s"
"Order Status: %s","狀態: %s"
"Shipping Detail","配送詳情"
"Tracking No.:","運單號:"
"Track My Order","追蹤訂單"
"Pay Now","立即付款"
"Reorder","重新下單"
"Back","返回"
"Return / Exchange Request","退換貨申請"
"Orders","訂單"
"Home","首頁"
"My Account","我的賬戶"
"View Order","查看訂單"
"Pay","付款"
"Order Confirmation","訂單確認"
"Date: %s","日期: %s"
"Item Description","商品資料"
"Shipping Information","配送資料"
"For more shipping information, please click ","更多配送資訊，請點擊"
"Shipping and Delivery","配送方式"
"Customer Remarks","客戶留言"
"Date","日期"
"Order Total","訂單總計"
"Shipping Method","配送方式"
"Payment Method","付款方式"
"Subtotal","總計"
"Order Detail","查看訂單"
"Ref No.: #%s","商品號: #%s"
"Color","顏色"
"Size","尺碼"
