"Actions","操作"
"Are you sure?","您確定嗎？"
"Date Added","添加日期"
"Error while marking as read. Please try again later.","標記為已讀時發生錯誤，請稍後重試。"
"Error while marking. Please try again later.","進行標記時發生錯誤，請稍後重試。"
"Error while removing. Please try again later.","刪除信息時發生錯誤，清稍後重試。"
"Last update","最後更新時間"
"Mark as Read","標記為已讀"
"Mark as read","標記為已讀"
"Message","信息"
"Message was successfully marked as read","成功將信息標記為已讀狀態"
"Message was successfully removed","成功刪除信息"
"Messages Inbox","信息箱"
"Notifications","告示"
"Please select messages","請選擇信息"
"Read Details","閱讀詳情"
"Remove","刪除"
"Severity","重要級別"
"Show List","顯示列表"
"Show Toolbar","顯示工具欄"
"Total of %d record(s) were successfully marked as read","共有%d條記錄被標記為已讀"
"Total of %d record(s) were successfully removed","共有%d被刪除"
"Unable to proceed. Please, try again","操作無法繼續。請稍後再試!"
"Update frequency","更新頻率"
"Use HTTPS to get feed","使用HTTPS獲得訂閱內容"
"critical","高度重要"
"major","主要"
"minor","次要"
"notice","公告"
