" The customer doesn't exist in the system anymore"," 該客戶已不存在"
" and "," 和 "
"(Absolute path or Relative to Magento install root, ex. var/export)","(絕對路徑或者相對於Magento安裝根目錄，例如 var/export)"
"(For US 2-letter state names)","（用於美國兩個字符的州名）"
"(If left empty will be auto-generated)","（如留空將被自動生成）"
"(Leave empty for first spreadsheet)","(留空，保留給第一個電子錶單)"
"(Products will be added/updated to this store if 'store' column is blank or missing in the import file.)","（若導入文件裡的商店 『store』 欄留空或不存在， 商品將增添至或更新於此商店。）"
"(Shift-)Click or drag to change value","(Shift-)點擊（Click）或拖弋（drag）以更換值"
"(Starting with)","(開始為)"
"(When 'No', only mapped fields will be imported. When mapping, use 'column1', 'column2', etc.)","（若使用'No'，只有映射欄（mapped fields）被導入。映射（mapping）時使用『column1』， 『column2』等）"
"(You have to increase php memory_limit before changing this value)","（修改此值之前您必須先增加php的memory_limit設置值）"
"(\t for tab)","(t 為製表符)"
"* - If indexing is in progress, it will be killed and new indexing process will start","* - 將終止已有的索引進程並啟動新的索引進程。"
"- Click on any of the time parts to increase it","- 點擊任何時間部分以增加它"
"- Hold mouse button on any of the above buttons for faster selection.","- 點按鼠標紐於上面任何按鈕以加速選擇。"
"- Use the %s buttons to select month","- 使用 %s 按鈕以選擇月份。"
"- Use the %s, %s buttons to select year","- 使用 %s 和 %s 按鈕以選擇年份。"
"- or Shift-click to decrease it","- 或同時按下Shift健和按鼠標紐（Shift-click）以減少選擇。"
"- or click and drag for faster selection.","- 或點擊（Click）和拖弋（drag）以以加速選擇。"
"-- Please Select --","-- 請選擇 --"
"-- Please select --","-- 請選擇 --"
"-- Please select a category --","-- 請選擇分類 --"
"--Please Select--","--請選擇--"
"1 Hour","1小時"
"12 Hours","12小時"
"12h AM/PM","12h AM/PM"
"2 Hours","2小時"
"24 Hours","24小時"
"24h","24h"
"2YTD","2年至今"
"6 Hours","6小時"
"<h1 class=""page-heading"">404 Error</h1><p>Page not found.</p>","<h1 class=""page-heading"">404 錯誤</h1><p>頁面不存在</p>"
"<h1 class=""page-heading"">Access denied</h1><p>Access denied.</p>","<h1 class=""page-heading"">訪問被拒絕</h1><p>訪問被拒絕。</p>"
"A new password was sent to your email address. Please check your email and click Back to Login.","新的密碼已經發到您的郵箱，請檢查電郵，點擊「返回」以重新登錄。 "
"API Stability","API 穩定性"
"API Version","API 版本"
"API:","API:"
"About the calendar","關於此月曆"
"Access Denied.","訪問被拒絕。"
"Access Deny","拒絕訪問"
"Account Created in:","帳號創建於："
"Account Created on (%s):","帳號創建於（%s）"
"Account Created on:","帳號創建於："
"Account Information","帳號信息"
"Account status","帳號狀態"
"Account successfully saved","成功保存帳號"
"Action","操作"
"Actions","操作"
"Actions XML","XML操作"
"Active","活躍"
"Add","添加"
"Add Contents Path","添加內容路徑"
"Add Exception","添加突發狀況（例外）"
"Add Field Mapping","添加映射（Mapping）欄"
"Add Field with URL:","添加URL欄："
"Add Maintainer","添加維護人員"
"Add New Image","添加新圖片"
"Add New Profile","添加新用戶（帳號）"
"Add New Role","添加新職責（Role）"
"Add New Template","添加新模版"
"Add New Urlrewrite","增加新的網址重寫"
"Add New User","添加新用戶"
"Add New osCommerce Profile","添加新的osCommerce用戶"
"Add PHP Extension dependency","添加PHP擴展依賴"
"Add Package dependency","添加安裝包依賴"
"Add Subpackage dependency","添加子安裝包依賴"
"Add Urlrewrite","添加網址重寫"
"Add Urlrewrite for a Category","添加分類網址重寫"
"Add Urlrewrite for a Product","添加商品網址重寫"
"Add after","在此後添加"
"Add new Role","增加新的角色"
"Add new store view map","添加新store view地圖"
"Add new website map","添加新website地圖"
"Address Type:","地址類型："
"Admin","管理
"Advanced Admin Section","高級管理員單元"
"Advanced Profiles","高級用戶（的設置）"
"Advanced Section","高級單元"
"Aggregate Order","累計訂單"
"All","全部"
"All Allowed Countries","所有允許國家"
"All Cache","所有緩存"
"All Files","所有文件"
"All Store Views","所有商店界面"
"All Tags","所有標籤"
"All Websites","所有網站"
"All countries","所有國家"
"All fields","所有行/欄"
"All possible rates were fetched, click on ""Save"" to apply","已獲取所有可能的匯率，點擊""保存""接受"
"All rates were fetched, click on ""Save"" to apply","已獲取所有匯率，點擊""保存""接受"
"All valid rates successfully saved","成功保存所有有效的匯率"
"Amounts","金額"
"Any","任意"
"Any Attribute Set","任何屬性組別"
"Any Group","任何組"
"Any Status","任何狀態"
"Any Store","任何商店"
"Any Type","任何類型"
"Any Visibility","任何顯示的"
"Api Key","Api 密鑰"
"Api Key Confirmation","Api 密鑰確認"
"Archive file name:","存檔文件名："
"Are you sure that you want to delete this template?","您確定要刪除此模版嗎？"
"Are you sure that you want to strip tags?","您確定要刪除此標籤嗎？"
"Are you sure you want to do this?","您確定？"
"Are you sure you wish to INSTALL all selected packages?","您確認要安裝所有選擇的包嗎？"
"Are you sure you wish to UNINSTALL all selected packages?","您確認要卸載所有選擇的包嗎？"
"Are you sure you wish to UPGRADE all selected packages?","您確認要升級所有選擇的包嗎？"
"Area","地區"
"Assigned","被指派"
"Attribute Set Name:","屬性組別名："
"Attribute set successfully saved.","成功保存屬性集。"
"Attribute set was successfully removed.","成功刪除屬性集。"
"Attributes","屬性"
"Available Products","可使用的商品"
"Available Version","可用版本"
"Average Order Amount","平均訂單金額"
"Average Orders","平均訂單金額"
"Back","返回"
"Back to Login","返回登錄頁"
"Back to local packages","返回本地包"
"Backup","備份"
"Backup record was deleted","備份記錄已刪除"
"Backup successfully created","成功備份"
"Backups","數據庫備份儲存"
"Base currency","基準貨幣"
"Bcc","暗送"
"Bestsellers","熱門商品"
"Big Image","大圖"
"Billing Address","賬單地址"
"Billing address","賬單地址"
"Block Information","區塊信息"
"Both (without and with tax)","共用（含於不含稅）"
"Browse Available Extensions","瀏覽可用插件"
"Browse Available Remote Extensions","瀏覽可用的遠程插件"
"Browse Files...","瀏覽文件..."
"Bundle Items","配套商品"
"Bundle with dynamic pricing cannot include custom defined options. Options will not be saved.","具有動態價格的包裹不能含有自定選項。選項設置不會被保存。"
"CRITICAL","關鍵性的"
"CSV","CSV"
"CSV / Tab separated","CSV /Tab分隔"
"Cache Control","緩存管理"
"Cache Control (beta)","緩存管理（beta）"
"Cache Management","緩存管理"
"Can not add new comment.","無法添加新評論"
"Can not add tracking number.","無法添加新運單號"
"Can not delete tracking number.","無法刪除運單號"
"Can not do credit memo for order","無法為此訂單創建退款記錄"
"Can not do invoice for order","無法為此訂單做單據"
"Can not do shipment for order.","無法為此訂單做運輸"
"Can not initialize shipment for adding tracking number.","無法為增加訂單號生成運輸"
"Can not initialize shipment for delete tracking number.","無法為刪除訂單號生成運輸"
"Can not load track with retrieving identifier.","無法使用獲得的標誌符加載跟蹤記錄"
"Can not retrieve tracking number detail.","無法獲取訂單號詳細資料"
"Can not save credit memo","無法保存退款記錄"
"Can not save invoice","無法保存單據"
"Can not save shipment.","無法保存運輸"
"Can not send shipment information.","無法發送運輸資料"
"Can not update item qty","無法更新物品數量"
"Can't delete design change","無法刪除設計修改"
"Can't find email address.","沒有找到郵件地址。"
"Cancel","取消"
"Card Verification Number","信用卡認證碼。"
"Catalog","目錄"
"Catalog Rewrites","目錄重定"
"Catalog Rewrites was refreshed successfully","成功刷新目錄重寫記錄"
"Catalog Rewrites were refreshed successfully","成功刷新目錄重寫記錄"
"CatalogInventory Stock Status rebuild error. Please try again later","目錄庫存狀態重建錯誤。請稍後再試。"
"CatalogInventory Stock Status was rebuilt successfully","成功重建目錄庫存狀態"
"Category","分類"
"Category:","分類"
"Changelog","修改日誌"
"Channel","頻道"
"Channel:","頻道："
"Checkbox","多選項（Checkbox）"
"Choose Store View","選擇商品界面"
"Choose an attribute","選擇屬性"
"Clear","清除"
"Close","關閉"
"Comment text field can not be empty.","評論框不能為空白"
"Comments History","評論的歷史"
"Complete","完成"
"Configuration","設置"
"Configuration successfully saved","成功保存設置"
"Confirmed email:","已確認的郵件："
"Conflicts","衝突"
"Connect with the Magento Community","同Magento社區聯繫"
"Contents","文本內容"
"Convert to Plain Text","轉換成純文本格式"
"Cookie (Unsafe)","Cookie (不安全)"
"Country","國家"
"Country:","國家："
"Coupon Code","優惠券代碼"
"Coupons","優化券"
"Create","創建"
"Create DB Backup","創建DB備份"
"Create Extension Package","創建插件包"
"Create New Attribute","創建新屬性"
"Create New Staging Store View","創建新的臨時Store View"
"Create Urlrewrite:","創建網址重寫"
"Create a backup","創建備份"
"Created <strong>%s</strong> items","已創建的<strong>%s</strong> 項目"
"Created At","創建於："
"Credit Card Number","信用卡號"
"Credit Card Number: xxxx-%s","信用卡號： xxxx-%s"
"Credit Card Type","信用卡類型"
"Credit Card Type: %s","信用卡類型： %s"
"Credit Memo #%s comment added","退款記錄 #%s 備註已添加"
"Credit Memo #%s created","退款記錄 #%s 已創建"
"Credit Memo History","退貨備註歷史"
"Credit Memo Totals","總退貨備註"
"Credit Memo cancel error.","退款記錄取消有誤"
"Credit Memo total must be positive.","退款記錄總額必須為正數"
"Credit Memo void error","將退款記錄作廢有誤"
"Credit Memo was successfully canceled.","成功取消退款記錄"
"Credit Memo was successfully created","成功創建退款記錄"
"Credit Memo was successfully voided","成功將退款記錄作廢"
"Currency","貨幣"
"Currency Information","貨幣信息"
"Currency Setup Section","貨幣設置單元"
"Current Configuration Scope:","當前設置範圍："
"Current Release Information","當前版本信息"
"Custom","自定義"
"Customer","顧客"
"Customer Group:","顧客組別："
"Customer Name","顧客名"
"Customer Since:","顧客加入日期："
"Customer was deleted","客戶已刪除"
"Customer was successfully saved","成功保存客戶"
"Customer with the same email already exists.","同一電郵地址的顧客已經存在。"
"Customers","顧客"
"DHTML Date/Time Selector","DHTML 時間/T日期選擇"
"Dashboard","界面"
"Data Format","數據格式"
"Data transfer:","數據傳輸："
"Date","日期"
"Date & Time","日期和時間"
"Date Added","加入的日期"
"Date Updated","更新的日期"
"Date selection:","日期選擇："
"Date selector","日期選擇"
"Date:","日期："
"Day","日
Decimal separator:"""
"Decimal separator:","小數分割符"
"Default (Admin) Values","默認管理（Admin）值"
"Default Config","默認設置"
"Default Template from Locale","本地化的默認模版"
"Default Values","默認值"
"Default display currency ""%s"" is not available in allowed currencies","默認顯示貨幣 ""%s"" 不在允許貨幣列表中"
"Default scope","默認範圍"
"Delete","刪除"
"Delete %s","刪除 %s"
"Delete %s '%s'","刪除%s '%s'"
"Delete Profile","刪除用戶"
"Delete Role","刪除用戶職責"
"Delete Store View","刪除商店界面"
"Delete Template","刪除模版"
"Delete User","刪除用戶"
"Delete Website","刪除網站"
"Dependencies","前提條件"
"Description","說明"
"Description:","簡介："
"Design","設計"
"Design Section","設計單元"
"Design change deleted","設計修改已刪除"
"Design change saved","設計修改已保存"
"Developer Section","Developer單元"
"Direction:","方向："
"Disable","關閉"
"Disabled","已關閉"
"Discount Amount","優惠金額"
"Display %s first","先顯示%s"
"Display default currency","顯示默認貨幣"
"Distributed under GNU LGPL. See %s for details.","發佈為GNU LGPL執照。 查看%s詳情。"
"Do you really want to KILL parallel process and start new indexing process?","您確定要終止同步操作並重新啟動新的檢索操作？"
"Done By:","完成於："
"Done by:","完成於："
"Download Remote File","下載遠程文件"
"Download and Install","下載並安裝"
"Downloading and installing $pkg, please wait...","正在下載和安裝$pkg，請稍候..."
"Drag to move","窗口可拖動"
"Drop-down","下拉菜單"
"Edit","編輯"
"Edit Email Template","編輯電郵模版"
"Edit Poll","編輯問卷"
"Edit Role","編輯用戶職責"
"Edit Store View","編輯商店界面"
"Edit System Template","編輯系統模版"
"Edit Tag","修改標籤"
"Edit Template","編輯模版"
"Edit Urlrewrite","修改網址重寫"
"Edit User","編輯用戶"
"Edit User '%s'","編輯用戶'%s'"
"Edit Website","編輯網站"
"Email","電郵"
"Email Address:","電郵地址："
"Email Preview","電郵預覽"
"Email address is empty.","電子郵件地址為空。"
"Email to a Friend","發電郵給朋友（商品介紹）"
"Email:","電郵："
"Enable","啟動"
"Enabled","已啟動"
"Enclose Values In:","附此值於："
"Entity Type","實體類型"
"Entity type:","實體類型："
"Error uploading the file","上傳文件錯誤"
"Error while cleared Image cache. Please try again later","生成圖像緩存出錯，請稍後再試。"
"Error while create backup. Please try again later","生成備份出錯，請稍後再試。"
"Error while deleting this role. Please try again later.","刪除角色錯誤，請稍後再試。"
"Error while deleting this set.","刪除出錯。"
"Error while finished process. Please refresh cache","完成處理出錯，請刷新緩存。"
"Error while refreshed Catalog Rewrites. Please try again later","刷新目錄重寫出錯，請稍後再試。"
"Error while refreshed Layered Navigation Indices. Please try again later","刷新層次導航索引出錯，請稍後再試。"
"Error while saving account. Please check all required fields","保存帳戶出錯，請檢查所有的必填項"
"Error while saving account. Please try again later","保存帳戶出錯，請稍後再試"
"Error while saving this configuration: ","保存設置出錯："
"Error while saving this role. Please try again later.","保存角色出錯，請稍後再試."
"Error while updating selected review(s). Please try again later.","更新選擇的評論出錯，請稍後再試."
"Excl. Tax","不含稅"
"Exclude","不含"
