" and "," 和 "
"(Absolute path or Relative to Magento install root, ex. var/export)","(絕對路徑或者相對於Magento安裝根目錄，例如 var/export)"
"(For US 2-letter state names)","（用於美國兩個字符的州名）"
"(If left empty will be auto-generated)","（如留空將被自動生成）"
"(Leave empty for first spreadsheet)","(留空，保留給第一個電子錶單)"
"(Products will be added/updated to this store if 'store' column is blank or missing in the import file.)","（若導入文件裡的商店 『store』 欄留空或不存在， 商品將增添至或更新於此商店。）"
"(Shift-)Click or drag to change value","(Shift-)點擊（Click）或拖弋（drag）以更換值"
"(Starting with)","(開始為)""
(When 'No'"
"(When 'No', only mapped fields will be imported. When mapping, use 'column1', 'column2', etc.)","(為'否'時，僅導入映射字段。當映射時，用'column1'、'column2'等。)"
"(You have to increase php memory_limit before changing this value)","（修改此值之前您必須先增加php的memory_limit設置值）"
"(\t for tab)","(t 為製表符)"
"- Click on any of the time parts to increase it","- 點擊然後時間部分以增加它"
"- Hold mouse button on any of the above buttons for faster selection.","- 點按鼠標紐於上面任何按鈕以加速選擇。"
"- Use the %s buttons to select month","- 使用 %s 按鈕以選擇月份。"
"- Use the %s, %s buttons to select year","-使用 %s 和 %s 按鈕以選擇年份。"
"- or Shift-click to decrease it","- 或同時按下Shift健和按鼠標紐（Shift-click）以減少選擇。"
"- or click and drag for faster selection.","- 或點擊（Click）和拖弋（drag）以以加速選擇。"
"API:","API:"
"About the calendar","關於此月曆"
"Access Denied.","訪問被拒絕"
"Account Created in:","帳號創建於："
"Account Created on (%s):","帳號創建於（%s"
"Account Created on:","帳號創建於："
"Action","操作"
"Actions","操作"
"Add","Add"
"Add Contents Path","添加內容路徑"
"Add Field with URL:","添加URL欄："
"Add Maintainer","添加維護人員"
"Add New Role","添加新職責角色（Role）"
"Add New Template","增加新模板"
"Add New User","添加新用戶"
"Add PHP Extension dependency","添加PHP擴展依賴"
"Add Package dependency","添加安裝包依賴"
"Add Subpackage dependency","添加子安裝包依賴"
"Add new store view map","Add new store view map"
"Add new website map","Add new website map"
"Address Type:","地址類型："
"All","全部"
"All Websites","所有網站"
"All fields","所有行/欄"
"Archive file name:","存檔文件名："
"Are you sure that you want to delete this template?","您確定要刪除此模版嗎？"
"Are you sure that you want to strip tags?","您確定要刪除此標籤嗎？"
"Attribute Set Name:","屬性分組名："
"Attributes","屬性"
"Available Products","可使用的商品"
"Big Image","大圖"
"Billing Address","賬單地址"
"Bundle Items","配套商品"
"Bundle with dynamic pricing cannot include custom defined options. Options will not be saved.","具有動態價格的包裹不能含有自定選項。選項設置不會被保存。"
"CSV / Tab separated","CSV /Tab分隔"
"Card Verification Number","信用卡認證碼"
"Catalog","目錄"
"Channel","頻道"
"Channel:","頻道："
"Choose Store View","選擇商品界面"
"Client Session timeout (sec.)","客戶會話超時 （秒）"
"Close","關閉"
"Comments History","評論的歷史"
"Confirmed email:","已確認的郵件："
"Connect with the Magento Community","同Magento社區聯繫"
"Contents","內容"
"Country:","國家："
"Create New Staging Store View","Create New Staging Store View"
"Create a backup","Create a backup"
"Created <strong>%s</strong> items","Created <strong>%s</strong> items"
"Credit Card Number","信用卡號"
"Credit Card Number: xxxx-%s","信用卡號： xxxx-%s"
"Credit Card Type","信用卡類型"
"Credit Card Type: %s","信用卡類型： %s"
"Credit Memo History","退貨備註歷史"
"Credit Memo Totals","總退貨備註"
"Current Configuration Scope:","當前設置範圍："
"Current Release Information","當前版本信息"
"Custom","自定義"
"Customer Group:","顧客分組"
"Customer Since:","顧客加入日期："
"Customers","顧客"
"DHTML Date/Time Selector","DHTML 時間/T日期選擇"
"Dashboard","面板"
"Data Format","數據格式"
"Data transfer:","數據傳輸："
"Date selection:","日期選擇："
"Date selector","日期選擇"
"Date:","日期："
"Decimal separator:","小數點分隔符:"
"Default (Admin) Values","默認管理（Admin）值"
"Default Values","默認值"
"Delete","刪除"
"Dependencies","前提條件"
"Description:","描述："
"Direction:","方向："
"Display %s first","先顯示%s"
"Distributed under GNU LGPL. See %s for details.","發佈為GNU LGPL執照。 查看%s詳情。"
"Done By:","完成於："
"Done by:","完成於："
"Download Remote File","下載遠程文件"
"Drag to move","拖弋移動"
"Edit Role","編輯職責角色"
"Edit User '%s'","編輯用戶'%s'"
"Email","電郵"
"Email Preview","電郵預覽"
"Email:","電郵："
"Enclose Values In:","附此值於："
"Entity type:","實體類型："
"Excl. Tax","不含稅"
"Exclude","不含"
"Expiration Date","有效期"
"Expiration Date: %s/%s","有效期： %s/%s"
"Export","導出"
"Export Filters","導出過濾器"
"Export:","導出："
"Extension","插件"
"Extensions","插件"
"FTP Host[:Port]","FTP 主機[:端口]"
"Field Mapping","文件映射（Mapping）"
"File Information","文件信息"
"File name:","文件名："
"Final Price","最終價格"
"Finished items creation.","Finished items creation."
"First Name:","名字："
"For latest version visit: %s","最新版本，請訪問： %s"
"From","從"
"General Settings","通用設置"
"Get help for this page","查看本頁面的幫助"
"Global Record Search","全站記錄搜尋"
"Go Today","今天"
"Google Base Items","Google Base商品"
"Group:","分組："
"Help Us Keep Magento Healthy - Report All Bugs","協助我們完善Magento – 報告所有錯誤"
"Ignore","忽略"
"Images","圖片"
"Import","導入"
"Import Service","導入服務"
"In Database:","在數據庫："
"In File:","在文件裡："
"Inactive","禁用"
"Incl. Tax","含稅"
"Include","包括"
"Installed As","安裝為"
"Interactive","交互式"
"Interface Locale: %s","地化界面：%s"
"Invalid webservice adapter specified","指定的網絡服務適配器不正確"
"Invalid webservice handler specified","指定的網絡服務處理器不正確"
"Invoice History","發票歷史"
"Invoice Totals","總發票"
"Issue Number","創建號"
"Issuer: %s","創建人: %s"
"Items to merge","Items to merge"
"Last 5 Orders","最新的5個訂單"
"Last 5 Search Terms","最新的5個搜索關鍵詞"
"Last Logged In (%s):","最新的登錄（%s）:"
"Last Logged In:","最新的登錄："
"Last Name:","姓氏："
"Latest Message:","最新信息："
"Leave empty to use tax identifier","留空，使用稅率標識符"
"Level","水平"
"License:","許可："
"Loading...","加載中..."
"Local Server","本地服務器"
"Local/Remote Server","本地/遠程服務器"
"Log Out","退出"
"Logged in as %s","登錄為%s"
"MS Excel XML","微軟 Excel XML"
"Magento Core Api","Magento核心Api"
"Magento Core Api Section","Magento核心Api單元"
"Magento Logo","Magento 標誌"
"Magento ver. %s","Magento版本： %s"
"Magento&trade; is a trademark of Irubin Consulting Inc. DBA Varien.<br/>Copyright &copy; %s Irubin Consulting Inc.","Magento&trade; 是 Irubin Consulting Inc. DBA Varien 的註冊商標。<br/>版權所有 &copy; %s Irubin Consulting Inc."
"Maintainers","維護人員"
"Manage Stores","商店管理"
"Mapping Configuration","Mapping Configuration"
"Max","最大"
"Merge Now","Merge Now"
"Min","最小"
"Module version conflict!","Module version conflict!"
"N/A","無"
"Name","名字"
"Name on Card","信用卡上的名字"
"Name on the Card: %s","信用卡上的名字：%s"
"Name:","名字："
"Next month (hold for menu)","下個月（點擊鼠標直到菜單出現）"
"Next page","下一頁"
"Next year (hold for menu)","明年（點擊鼠標直到菜單出現）"
"No","否"
"No Data Found","找不到數據"
"No search keywords.","沒搜索詞彙"
"Note:","注意："
"Notes:","備註："
"Number of records:","記錄次數"
"Old rate:","舊價："
"Only mapped fields","僅限映射欄（mapped fields）"
"Order Totals","總訂單"
"Order confirmation email not sent","沒有發送訂單確認郵件"
"Order confirmation email sent","訂單確認郵件已發送"
"Original Magento attribute names in first row:","Magento原有屬性名為第一欄"
"Package","包"
"Package Information","安裝包信息"
"Packages","包"
"Page","頁"
"Passive mode","被動模式"
"Password","密碼"
"Path","路徑"
"Path:","路徑："
"PayPal Email","PayPal 電子郵件"
"Personal Information","個人信息"
"Phone:","電話："
"Please confirm site switching. All data that hasn't been saved will be lost.","請確認網站卻換。未儲存的數據將不被保留。"
"Please enter 6 or more characters.","請輸入6或更長字母。"
"Please enter a number greater than 0 in this field.","請輸入大於0的值。"
"Please enter a valid $ amount. For example $100.00.","請輸入有效的$金額。例如：$100.00。"
"Please enter a valid URL. For example http://www.example.com or www.example.com","請輸入有效的URL。例如：http://www.example.com 或 www.example.com"
"Please enter a valid URL. http:// is required","請輸入有效的URL。http://為必填項。"
"Please enter a valid credit card number.","請輸入有效的信用卡號碼。"
"Please enter a valid date.","請輸入有效的日期。"
"Please enter a valid email address. For example johndoe@domain.com.","請輸入有效的電郵，例如johndoe@domain.com."
"Please enter a valid number in this field.","請輸入有效的號碼。"
"Please enter a valid phone number. For example (123) 456-7890 or 123-456-7890.","請輸入有效的電話號碼，例如（123）456-7890 或 123-456-7890。"
"Please enter a valid social security number. For example 123-45-6789.","請輸入有效的設安卡號，例如123-45-6789。"
"Please enter a valid value from list","請從列表裡輸入有效值。"
"Please enter a valid value, ex: 10,20,30","請輸入有效值，例如：10,20,30"
"Please enter a valid zip code.","請輸入有效的郵編。"
"Please enter a valid zip code. For example 90602 or 90602-1234.","請輸入有效的郵編，例如 90602 或 90602-1234。"
"Please enter valid password.","請輸入有效的密碼。"
"Please make sure that your changes were saved before running the profile.","演示此信息前請確認您的更新已儲存。"
"Please make sure your passwords match.","請確定您的密碼匹配。"
"Please select State/Province.","請選擇省份"
"Please select an option.","請選擇一個選項。"
"Please select one of the above options.","請選擇以上的一個選項。"
"Please select one of the options.","請選擇其中一個選項。"
"Please use in this field only ""a-z,0-9,_"".","請僅使用字符（a-z）和數字（0-9）。"
"Please use letters only (a-z) in this field.","請僅使用字符（a-z）。"
"Please use numbers only in this field. please avoid spaces or other characters such as dots or commas.","該欄目只能輸入數字，不能輸入空格或點、逗號等字符。"
"Please use only letters (a-z) or numbers (0-9) only in this field. No spaces or other characters are allowed.","請僅使用字符（a-z）或數字（0-9）。空格和字母不允許。"
"Please use only letters (a-z) or numbers (0-9) or spaces and # only in this field.","請僅使用字符（a-z）或數字（0-9）或空格和 #。"
"Please use this date format: dd/mm/yyyy. For example 17/03/2006 for the 17th of March, 2006.","請使用此日期格式： dd/mm/yyyy. 例如17/03/2006 為三月十七日二00六。"
"Please wait, loading...","請等待，加載中..."
"Please, select a store view","Please, select a store view"
"Prev. month (hold for menu)","上個月（點擊鼠標直到菜單出現）"
"Prev. year (hold for menu)","前年（點擊鼠標直到菜單出現）"
"Previous page","前頁"
"Price","價格"
"Price:","價格："
"Primary Billing Address","首選賬單地址"
"Processed <strong>%s%% %s/%d</strong> items","Processed <strong>%s%% %s/%d</strong> items"
"Product","商品"
"Products","商品"
"Profile Information","配置文件信息"
"Provided Files","提供的文件"
"Qty","件數"
"Read details","讀取詳情"
"Recommended","推薦"
"Remote FTP","遠程FTP"
"Remote URL:","遠程網址："
"Remove","刪除"
"Resource Access","資源訪問"
"Resources","資源"
"Role","角色"
"Role Users","職責角色用戶"
"Roles","職責角色"
"Roles Resources","職責角色職務"
"SKU","商品號碼"
"SKU:","商品號碼:"
"Schedule Merge","Schedule Merge"
"Select All","全選"
"Select Date","選擇時間"
"Select Range","選擇範圍"
"Select Visible","選擇顯示"
"Select date","選擇時間"
"Select website from map","Select website from map"
"Select website to map","Select website to map"
"Shipment Comments","貨單註解"
"Shipment History","貨單歷史"
"Shipping Address","配送地址"
"Shipping address selection is not applicable","配送地址選項不成立。"
"Shipping method selection is not applicable","配送方法選項不成立。"
"Show Report for","顯示報告"
"Show by","顯示"
"Some items in this order have different invoice and shipment types. You can create shipment only after the invoice is created.","這訂單裡的一些商品有不同的發票和貨單類型。您只可以在建立發票後才能創建貨單。"
"Sort Order","排序"
"Spreadsheet Name:","表單（Spreadsheet）名："
"Staging Store: ","Staging Store: "
"Staging Website: ","Staging Website: "
"Start Date","開始日期"
"State/Province:","省份："
"Status","狀態"
"Status:","狀態："
"Stock Quantity:","庫存量"
"Store:","商店"
"Store: ","Store: "
"Subpackage","分包"
"Subpackages","分包"
"Summary:","摘要"
"Switch/Solo Only","僅限Switch/Solo"
"Switch/Solo card issue number: %s","Switch/Solo 卡號：%s"
"Switch/Solo card start Date: %s/%s","Switch/Solo 卡開始日期：%s/%s"
"Switch/Solo/Maestro(UK Domestic) Only","僅限 Switch/Solo/Maestro(英國國內)"
"Switch/Solo/Maestro(UK Domestic) card issue number: %s","Switch/Solo/Maestro(英國國內) 卡號：%s"
"Switch/Solo/Maestro(UK Domestic) card start Date: %s/%s","Switch/Solo/Maestro(英國國內) 開始日期：%s/%s"
"The information in this tab has been changed.","此標籤（tab）的信息已更新。"
"This tab contains invalid data. Please solve the problem before saving.","此標籤（tab）含有無效屬性。請把該問題解決了才儲存。"
"Thumbnail","縮略圖"
"Time selection:","時間選項"
"Time:","時間："
"To","給"
"Top 5 Search Terms","5個最高搜索關鍵詞"
"Total %d records found","共找到%d個記錄"
"Track order","跟蹤訂單"
"Track this shipment","追蹤此貨物"
"Type","類型"
"Type:","類型："
"Unable to login.","無法登錄。"
"Unselect All","關閉所有顯示"
"Unselect Visible","關閉顯示"
"Upgrade All Available Packages","升級所有可用的安裝包"
"Upload Local File","上傳本地文件"
"Upload local file:","上傳本地文件："
"Use Default Value","使用默認值"
"User","用戶"
"User Name","用戶名"
"User Roles","用戶職責"
"User name","用戶名"
"Users","用戶"
"Value Delimiter:","值定義符:"
"Version:","版本"
"View","查看"
"View Statistics for","查看統計"
"Visibility:","顯示於"
"Warning! Empty value can cause problems with CSV format.","警告！空值可能引起 CSV 格式問題。"
"Warning!rnThis action will remove this user from already assigned rolernAre you sure?","Warning!rnThis action will remove this user from already assigned rolernAre you sure?"
"Warning!rnThis action will remove those users from already assigned rolesrnAre you sure?","Warning!rnThis action will remove those users from already assigned rolesrnAre you sure?"
"Web Services","網站服務"
"Web Services Configuration","網絡服務配置"
"Website: ","Website: "
"Websites","Websites"
"Websites / Stores","Websites / Stores"
"What is this?","這是什麼？"
"Yes","是"
"You have","您有"
"Your Account has been deactivated.","您的帳戶已被禁用。"
"Your server PHP settings allow you to upload files not more than %s at a time. Please modify post_max_size (currently is %s) and upload_max_filesize (currently is %s) values in php.ini if you want to upload larger files.","您的服務器上 PHP 設置單次文件上傳不能超過 %s，如果您想要上傳更大的文件，請修改 php.ini 中 post_max_size （目前設置：%s）以及 upload_max_filesize （目前設置：%s）"
"Zip/Postal Code:","郵編"
"critical","關鍵"
"images/logo.gif","件商品已選擇"
"items selected","已選商品"
"major","主要"
"md5sum","次要"
"minor","次要"
"notice","公告"
"of %s pages","第%s頁"
"or","or"
"per page","頁"
"to","給"
