"--Select--","--請選擇--"
"Add New Option","添加新選項"
"Add Selection","添加選擇"
"As low as","最低"
"Bundle Items","配套商品"
"Bundle Product","配套商品"
"Buy %1$s with %2$s discount each","買%1$s件，每件優惠%2$s"
"Checkbox","多選"
"Choose a selection...","請選擇..."
"Close","選擇"
"Default","默認"
"Default Qty","默認件數"
"Default Title","默認標題
Drop-down"""
"Drop-down","下拉菜單"
"Dynamic","動態"
"Excl. Tax","不含稅"
"Fixed","固定"
"From","從"
"From:","從:"
"Gift Message","禮物留言"
"Incl. Tax","含稅"
"Input Type","輸入類型"
"Is Required","必填"
"Message:","留言內容："
"Multiple Select","多選"
"N/A","(無)"
"No options of this product are available.","此商品沒有選項"
"None","無"
"Percent","百分比"
"Percent Discount","折扣百分比"
"Please enter search conditions to view products.","請輸入搜索條件以查看商品。"
"Please select options for product.","請選擇商品選項。"
"Please select products to add","請選擇商品添加"
"Please specify product option(s)","請指定商品選項"
"Position","位置"
"Price Range","價格範圍"
"Price Type","價格類型"
"Price as configured","現設置的價格為"
"Qty:","數量:"
"Radio Buttons","單選"
"Required options not selected.","必選項未選擇。"
"Selected required options not available.","選擇的必選項無效。"
"Separately","單獨"
"Ship Bundle Items","配套商品發貨"
"Shipment","發貨配送"
"Store View Title","商店界面標題"
"There is no defined renderer for ""%s"" option type","沒有""%s""的選項類型的定義"
"This product is also part of bundle(s)","此商品為配套商品的一部分。"
"To","到"
"To:","到:"
"Together","共"
"User Defined Qty","用戶定義數量"
