"%s is not correct comparsion method.","%s 不是正確的比較方法。"
"<strong>Please note</strong>, that these Settings are applicable to cart line Items, not the whole Cart.","<strong>請注意</strong>，這些設置僅使用於購物車裡某一行商品，而不是整個購物車。"
"Allow Qty Below 0","允許庫存數量低於0"
"Allow Qty Below 0 and Notify Customer","允許庫存數量低於0並提醒客戶"
"Backorders","缺貨訂單"
"By Fixed value","根據固定值"
"By Percentage","根據百分比"
"Can not specify product identifier for order item","無法指定訂購商品的標識"
"Catalog Inventory","目錄庫存"
"Decrease Stock When Order is Placed","訂單生成後減少庫存"
"In Stock","有庫存"
"Inventory","庫存管理"
"Inventory API","庫存API"
"Inventory Section","庫存單元"
"Manage Stock","庫存管理"
"Maximum Qty Allowed in Shopping Cart","購物車中可允許最多商品數量"
"Minimum Qty Allowed in Shopping Cart","購物車中可允許最少商品數量"
"No Backorders","不允許缺貨訂單"
"Notify for Quantity Below","需要提醒的最少數量"
"Out of Stock","無庫存"
"Product Stock Options","商品庫存選項"
"Qty for Items' Status to become Out of Stock","此數量時將商品狀態設置為庫存不足"
"Retrieve stock data","讀取庫存數據"
"Retrieve stock data by product ids","根據商品編號(id)讀取庫存數據"
"Rule price","價格規則"
"Set Items' Status to be In Stock When Order is Cancelled","訂單取消時將相關商品狀態重置為有庫存"
"Some of the products are currently out of stock","部分商品目前無庫存"
"Some of the products can not be ordered in requested quantity","部分商品無法按照要求的數量訂購"
"Some of the products cannot be ordered in the requested quantity","部分商品無法按照要求的數量訂購"
"Stock Options","庫存選項"
"Stock item for Product in option is not valid","指定商品的庫存記錄不存在"
"Stock item for Product is not valid","商品庫存記錄不存在"
"The maximum quantity allowed for purchase is %s.","%s。"""
"The minimum quantity allowed for purchase is %s.","最低允許購買數量為 %s。"
"The requested quantity for ""%s"" is not available.","您訂購""%s""數量沒有庫存。"
"The requested quantity is not available.","您訂購的數量沒有庫存。"
"This product is currently out of stock.","此商品目前庫存不足。"
"To Fixed Value","為固定值"
"To Percentage","為百分比"
"Update","更新"
"Update product stock data","更新商品庫存數據"
"Update the Product","更新商品"
