"%s and greater","%s及更大"
"Advanced Search","高級搜尋"
"All","全部"
"All Brands","所有品牌"
"Applies for ""Like"" Search type only","僅應用於「相似」搜索類型"
"Apply Layered Navigation if search results are less than","應用分層導航，如果搜索結果少於"
"Attribute setting change related with Search Index. Please run <a href=""%s"">Rebuild Search Index</a> process","屬性設置修改與搜索索引相關。請運行<a href=""%s"">重建搜索索引</a> 程序"
"Autogenerated site map","自動生成網站地圖"
"Catalog Advanced Search","高級目錄搜尋"
"Catalog Search","目錄搜尋"
"Don't see what you're looking for?","沒看見您要查找的商品？"
"Go","Go"
"Go to Home Page","回首頁"
"Grid","多欄顯示"
"List","單欄顯示"
"Maximum Query Length","最大查詢長度"
"Maximum Query Words Count","最大查詢詞數"
"Maximum Search query  length is %s. Your query was cut.","搜索查詢字符最大長度為%s，您問題的一部分已被屏障。"
"Minimal Query Length","最小查詢長度"
"Minimum Search query length is %s","最小查詢長度為%s"
"Modify your search","修改您的查詢"
"No","否"
"No items were found using the following search criteria.","沒有找到與下列搜索條件相匹配的商品。"
"Please enter ""0"" to enable layered navigation for any number of results","請輸入「0」激活分層導航"
"Popular Search Terms","熱門搜索關鍵詞"
"Popular search terms","熱門搜索關鍵詞"
"Relevance","相關"
"Required Fields","必填項"
"Results","結果"
"Search","搜尋"
"Search Settings","搜尋設置"
"Search Site","搜索網站"
"Search Terms","熱門搜索關鍵詞"
"Search Type","搜索類型"
"Search entire store here...","全店搜索 ..."
"Search results for '%s'","搜索結果: '%s'"
"Search results for: '%s'","搜索結果: '%s'"
"Subscribe to Feed","訂閱RSS"
"There are no search terms available.","沒有可用的搜索關鍵詞。"
"Yes","是"
"You have to specify at least one search term","請輸入至少一個搜索關鍵詞"
"Your search returns no results.","<h4>未搜索到相關商品：</h4>
            <div class=""cms-text"">抱歉，未能找到與「<span>XX XX XX</span>」相關的商品。您是不是想找 「<span>xx</span>」/ 「<span>yy</span>」/ 「<span>zz</span>」?</div>
            <div class=""cms-text"">請核對輸入文字，或試用其他關鍵詞。</div>
            <div class=""cms-text"">如對商品有任何問題，歡迎聯繫在線客服進行咨詢。謝謝您對熙熙網的支持!</div>"
"up to %s","最多%s"
"<strong>%d item(s)</strong> were found using the following search criteria","<strong>%d商品</strong>為下列搜索條件相匹配的商品。"
"Search for product or style","搜尋商品或風格"
"Recently Viewed","最近瀏覽過的"
"Your search returns no results.","沒有搜索到結果。"
"Search Results for '<strong>%s</strong>'","搜索'<strong>%s</strong>'的結果"
"%s items found","共找到%s個"
"%s items found"," 共發現 %s 件商品"
"Search Result","搜索結果"
