"&laquo; Back to Billing Information","&laquo; 返回賬單信息"
"&laquo; Back to Select Addresses","&laquo; 返回選擇地址"
"&laquo; Back to Shopping Cart","&laquo; 返回購物車"
"* Required Fields","* 必填項"
"Add New Address","添加新地址"
"Add New Condition","添加新狀態"
"Add to Cart","購買"
"Add to Compare","比較"
"Add to Wishlist","加入我的收藏"
"Add to wish list","加入我的收藏"
"ADD TO WISHLIST","加入我的收藏"
"Address","地址"
"Address %s of %s","第%s個地址，共%s個"
"After adding a product redirect to shopping cart","加入商品後轉到購物車"
"Allow Guest Checkout","允許訪客結帳"
"Already registered?","已註冊？"
"Apply Coupon","使用優惠券"
"Back","返回"
"Back to Shipping Information","返回配送信息"
"Based on your selection, you may be interested in the following items:","基於您的選擇，您也許對以下商品感興趣："
"Billing Address","賬單地址"
"Billing Information","賬單信息"
"Billing Information - %s","賬單信息 - %s"
"Can not add item to shopping cart","無法加入購物袋"
"Can not apply coupon code.","無法使用優惠券。"
"Can't open overview page","無法打開概述頁面"
"Cancel Coupon","取消優惠券"
"Cannot remove item","無法刪除商品"
"Cannot update shopping cart","無法更新購物袋"
"Card Verification Number Visual Reference","信用卡確認碼參考視圖"
"Cart Subtotal:","購物袋金額："
"Change","編輯"
"Change Billing Address","修改賬單地址"
"Checkbox text","選框提示文字"
"Checkout","結算"
"Checkout Conditions","購買條款"
"Checkout Options","結算選擇"
"Checkout Section","結賬單元"
"Checkout Terms and Conditions","結算條款"
"Checkout as Guest","以訪客身份結算"
"Checkout as a Guest or Register","以訪客身份結算或註冊"
"Checkout method","結帳方式"
"Checkout with Multiple Addresses","使用多個地址結帳"
"Central/Central Stock Pick-up","香港中環中建大廈 Central Central 店舖直接取貨"
"City","城市"
"Click <a href=""%s"" onclick=""this.target='_blank'"">here to print</a> a copy of your order confirmation.","<a href=""%s"" onclick=""this.target='_blank'"">打印</a>訂購確認書"
"Close","關閉"
"Company","公司"
"Condition Name","條款名稱"
"Condition was successfully deleted","成功刪除條款"
"Condition was successfully saved","成功保存條款"
"Configurable product image","可設置商品的圖片"
"Confirm Password","確認密碼"
"Content","內容"
"Content Height","內容顯示高度"
"Content Height (css)","內容顯示高度 (css)"
"Continue","繼續"
"Continue Shopping","繼續購物"
"Continue to Billing Information","繼續賬單信息"
"Continue to Review Your Order","繼續查看訂單"
"Continue to Shipping Information","繼續配送信息"
"Country","國家"
"Coupon code ""%s"" is not valid.","優惠券號""%s""不正確。"
"Coupon code ""%s"" was applied successfully.","成功使用優惠券代碼 ""%s""."
"Coupon code was canceled successfully.","成功取消優惠券代碼。"
"Create Billing Address","創建賬單地址"
"Create Shipping Address","創建配送地址"
"Data saving problem","數據儲存問題"
"Default Billing","默認賬單"
"Default Shipping","默認配送"
"Delete Condition","刪除條件"
"Details","詳情"
"Disable Onepage Checkout","禁用單頁結帳"
"Disabled","禁用"
"Discount Codes","優惠券"
"Display Cart Summary","顯示購物車摘要"
"Display Shopping Cart Sidebar","顯示購物車 Sidebar"
"Display item quantities","顯示商品數量"
"Display number of items in cart","顯示購物車的商品數量"
"Easy access to your order history and status","簡易查詢您的訂單歷史和帳號資料"
