"(eg: domain.com/identifier)","(例如：domain.com/identifier)"
"About Us","關於我們"
"Action","操作"
"Add New Block","添加新方框/區塊"
"Add New Page","添加新頁面"
"All countries","所有國家"
"As Seen In","媒體"
"Block Information","區塊信息"
"Block Title","區塊標題"
"Block was successfully deleted","成功刪除方框"
"Block was successfully saved","成功保存方框"
"Care Cleaning Tips","清潔保養"
"CMS","CMS"
"CMS Home Page","CMS首頁"
"CMS No Route Page","CMS No Route頁）"
"Content","內容"
"Custom Design","自定義設計"
"Custom Theme","自定義模版"
"Custom Theme From","自定義主題自"
"Custom Theme To","自定義主題到"
"Customer Tax Class Information","顧客稅種信息"
"Date Created","創建日期"
"Delete Block","刪除區塊"
"Delete Page","刪除頁面"
"Description","說明"
"Disabled","關閉"
"Edit Block","編輯區塊"
"Edit Block '%s'","編輯區塊：'%s'"
"Edit Page","編輯頁面"
"Edit Page '%s'","編輯頁面：'%s'"
"Enabled","已開啟"
"Glossary","術語"
"General Information","基本信息"
"Go to Home Page","回首頁"
"Identifier","標識符（Identifier）"
"Keywords","關鍵字"
"Last Modified","最後修改"
"Layout","版面（Layout）"
"Layout Update XML","XML版面更新"
"Legal","條款"
"Manage Pages","頁面管理"
"Meta Data","Meta數據（用於SEO優化）"
"Meta Description","Meta說明"
"Meta Keywords","Meta關鍵字"
"New Block","新區塊"
"New Page","新頁面"
"Page Identifier cannot consist only of numbers.","頁面標識符不能只含數字。"
"Page Identifier for specified store already exist.","輸入的商店頁面標識符已存在。"
"Page Information","頁面信息"
"Page Status","頁面狀態"
"Page Title","頁面標題"
"Page was successfully deleted","成功刪除頁面"
"Page was successfully saved","成功保存頁面"
"Poll Manager","投票管理"
"Product Tax Class Information","商品稅種信息"
"SEF URL Identifier","搜索引擎友好網址的標識符"
"Save Block","儲存區塊"
"Save Page","儲存頁面"
"Shopping Tips","購物小貼士"
"Show breadcrumbs for CMS pages","顯示CMS頁面導航條"
"Static Blocks","固定方框/區塊(功能：適用於頁面的任何地方)"
"Status","狀態"
"Store View","商店界面"
"Such a block identifier in selected store already exist.","選擇商店的方框標識符已存在。"
"The page you are trying to save no longer exists","要保存的頁面不存在"
"This block no longer exists","該方框不存在"
"This page no longer exists","該頁面不存在"
"Title","標題"
"Unable to find a block to delete","沒有找到要刪除的方框"
"Unable to find a page to delete","沒有找到要刪除的頁面"
"Package","包裝"
