"%s already exist","%s已存在"
"%s already exists","%s已存在"
"-- Please Select --","-- 請選擇 --"
"Add Block Names to Hints","在提示信息中添加區塊名稱"
"Add Secret Key to URLs","添加秘密碼至URLs"
"Add Store Code to Urls","添加商店代號至Urls"
"Admin","管理"
"Admin Base URL","基準管理URL"
"Admin User Emails","管理員電郵"
"Advanced","高級"
"Allow countries","允許國家"
"Allowed IPs (comma separated)","允許的IPs (以逗號分開)"
"Are you sure?","您確定嗎？"
"Back","返回"
"Backup options","備份選項"
"Base JavaScript URL","基準JavaScript URL"
"Base Link URL","基準鏈接URL"
"Base Media URL","基準媒體URL"
"Base Skin URL","基準Skin URL"
"Base URL","基準URL"
"Before modifying the store view code please make sure that it is not used in index.php","在修改商店界面代碼前，請確認沒有在index.php中使用"
"Before modifying the website code please make sure that it is not used in index.php","在修改網站代碼前，請確認沒有在index.php中使用"
"Block with name ""%s"" already exists","區塊名""%s""已經存在。"
"Blocks HTML output","區塊 HTML 輸出"
"Can't retrieve request object","無法讀取要求的實體。"
"Can't retrieve entity config: %s","無法獲取實體配置：%s"
"Cancel","取消"
"Cannot Delete Email Template","不能刪除電子郵件模板"
"Cannot complete this operation from non-admin area.","非管理設置內無法完成此操作"
"Category object is required for determining product request path","確定商品請求路徑需要分類對像"
"Code","代碼"
"Collections Data","集合(Collections)數據"
"Configuration","配置"
"Controller file was loaded but class does not exist","控制文件已加載但其類型不存在"
"Cookie Domain","Cookie域"
"Cookie Lifetime","Cookie時效"
"Cookie Path","Cookie路徑"
"Copyright","版權信息"
"Countries options","國家選項"
"Create Store","創建商店"
"Create Store View","創建商店界面"
"Create Website","創建網站"
"Current package name","當前安裝包名稱"
"Custom Design","自定義設計"
"Custom admin URL","自定義管理 URL"
"Custom email 1","自定義郵件一"
"Custom email 2","自定義郵件二"
"Customer support","客戶服務"
"Date From","開始日期"
"Date To","結束日期"
"Date/time format ""%s"" is not supported.","日期/時間格式""%s""不支持"
"Debug","調試"
"Default","默認"
"Default Description","默認說明"
"Default Keywords","默認Keywords"
"Default Pages","默認頁"
"Default Robots","默認Robots"
"Default Store","默認商店"
"Default Store View","默認商店界面"
"Default Title","默認標題"
"Default country","缺省國家"
"Default no-route url","缺省缺失的頁面"
"Default web url","缺省網址"
"Delete","刪除"
"Delete Store","刪除商店"
"Delete Store View","刪除商店界面"
"Delete Website","刪除網站"
"Deleting a %1$s will not delete the information associated with the %1$s (e.g. categories, products, etc.), but the %1$s will not be able to be restored. It is suggested that you create a database backup before deleting the %1$s.","刪除 %1$s不會刪除與  %1$s相關的信息（例如類別，商品等），但是%1$s被刪除後無法恢復。建議刪除%1$s之前先生成一個數據庫備份。"
"Design","設計"
"Design Change","設計更改"
"Developer","開發者"
"Developer Client Restrictions","Developer客戶限制區"
"Disable email communications","禁用電子郵件"
"Disable modules output","模塊輸出"
"Duplicate Of Template Code","模板代碼重複"
"Edit Design Change","編輯設計更新"
"Edit Store","編輯商店"
"Edit Store View","編輯商店界面"
"Edit Website","編輯網站"
"Empty identifier field name","清空辨識行名"
"Empty main table name","清空主表單（table）名"
"Enabled","已啟用"
"Enabled for Admin","啟用於後台管理"
"Enabled for Frontend","啟用於前台"
"Error in file: ""%s"" - %s","文件錯誤L ""%s"" - %s"
"Error while saving. Please try again later.","保存時出錯，請稍後再試。"
"Error: Passwords do not match","錯誤信息：密碼不匹配"
"Exceptions Log File Name","Exceptions日誌文件名"
"First Day of Week","每週的第一天"
"Footer","頁腳"
"Forgot Password Email Sender","忘記密碼電郵發件人"
"Forgot Password Email Template","忘記密碼電郵模版"
"General","基本"
"General Settings","基本設置"
"General contact","聯繫人"
"Global","全站"
"HTML Head","HTML 頭信息"
"Header","頁眉"
"Host","主機"
"Id path for specified store","指定商店的編號路徑"
"Incorrect credit card expiration date","信用卡失效日期有誤"
"Invalid base url type","無效的基準url類型"
"Invalid block name to set child %s: %s","子分組%s的無效區塊名: %s"
"Invalid block type: %s","無效區塊類型：%s"
"Invalid block: %s","無效區塊: %s"
"Invalid layout update argument, expected Mage_Core_Model_Layout_Element","版面更新參數不正確，必須是 Mage_Core_Model_Layout_Element"
"Invalid layout update handle","無效的版面更新控制柄"
"Invalid messages storage ""%s"" for layout messages initialization","啟動版面信息裡的""%s""無效信息庫 。"
"Invalid transactional email code: ","無效的交易郵件代號："
"Invalid websites configuration path: %s","網站配置路徑不正確：%s"
"Layout","版面（Layout）"
"Layouts","佈局"
"Leave empty for access from any location","放空則允許從任何位置訪問"
"Locale","本地化"
"Locale options","本地化選項"
"Log Settings","日誌設置"
"Logging from Mage::log(). File is located in�{{base_dir}}/var/log","來自 Mage::log() 的日誌。文件位於 {{base_dir}}/var/log"
"Logging from Mage::logException(). File is located in�{{base_dir}}/var/log","來自 Mage::logException() 的日誌。文件位於  {{base_dir}}/var/log"
"Logo Image Alt","Logo 替代文字"
"Logo Image Src","Logo 圖片源"
"Manage Stores","商店管理"
"Match expressions in the same order as displayed in the configuration.","匹配形態（Match expressions） in the same order as displayed in the configuration."
"Miscellaneous HTML","雜項HTML"
"Miscellaneous scripts","各種腳本"
"Model class does not exist: %s","型號類不存在：%s"
"Model collection resource name is not defined","型號組合資源名未定義"
"Module ""%1$s"" can not be depended from ""%2$s""","模塊""%1$s""不能依""%2$s""而定"
"Module ""%1$s"" requires module ""%2$s""","Module ""%1$s"" requires module ""%2$s"""
"Name","名稱"
"New Design Change","修改新設計"
"New Store","新商店"
"New Store View","新商店界面"
"New Website","新網站"
"No","否"
"Package","設計包"
"Please choose to register or to checkout as a guest","請選擇註冊或以訪客身份結算。"
"Please define flag code.","請定義flag碼。"
"Please enter 6 or more characters.","請輸入6個或更多字符。"
"Please enter a number greater than 0 in this field.","請輸入0或大於0於此行裡。"
"Please enter a valid $ amount. For example $100.00.","請輸入正確的$額， 例如，$100.00."
"Please enter a valid URL. For example http://www.example.com or www.example.com","請輸入正確的URL名。例如： http://www.example.com或www.example.com"
