"* Required Fields","* 必填項"
"A new password was sent","新的密碼已經發出"
"Account dashboard","我的帳戶"
"Account Dashboard","我的帳戶"
"Account Information","個人資料"
"Account Sharing Options","帳戶共享選項"
"Account information was successfully saved","成功保存帳戶信息"
"Action","操作"
"Add New Address","添加配送地址"
"Add New Customer","加新顧客"
"Add New Customer Group","加新顧客組"
"Added From","加自"
"Additional Address Entries","其他地址"
"Address","地址"
"Address Book","地址簿"
"Address Information","地址信息"
"Addresses","地址簿"
"Admin","管理"
"All","全部"
"All Store Views","所有商店界面"
"All countries","所有國家"
"Always optional","總是可選"
"Amount","金額"
"Approved","已批准"
"Array of Entity collections is expected","需要實體組合的數組"
"Assign a customer group","指定客戶分組"
"Average Sale","平均銷售"
"Back","返回"
"Back to Login","返回登錄"
"Bad request.","錯誤的請求。"
"Bill to Name","賬單收件人"
"Billing Information","賬單信息"
"Bought From","購買自"
"By creating an account with our store, you will be able to move through the checkout process faster, store multiple shipping addresses, view and track your orders in your account and more.","註冊帳號讓您購物更方便快捷！您還可同時儲存多個運送地址及管理商品，收藏等。"
"CSV","CSV"
"Can't save address","無法保存地址"
"Can't save customer","無法保存客戶"
"Can't share customer accounts global. Because some customer accounts with same emails exist on multiple websites and cannot be merged.","客戶帳號無法全局共享，因為部分客戶帳號在在多個網站使用相同的電子郵件，記錄無法合併。"
"Change Account Password","修改帳戶密碼"
"Change Billing Address","更新賬單地址"
"Change Password","更改密碼"
"Change Shipping Address","更新配送地址"
"Central/Central Stock Pick-up","香港中環中建大廈 Central Central 店舖直接取貨"
"City","城市"
"Company","公司"
"Config","設置"
"Confirm New Password","確認新密碼"
"Confirm Password","確認密碼"
"Confirmation Link Email","確認郵件鏈接"
"Confirmed","確認"
"Contact Information","新配送地址"
"Country","國家"
"Create","創建"
"Create New Account Options","註冊新帳號選項"
"Create New Customer Account","註冊新帳號"
"Create Order","創建訂單"
"Create an Account","註冊"
"Create customer","創建顧客"
"Create customer address","創建顧客地址"
"Current Password","目前密碼"
"Customer","顧客"
"Customer Addresses","客戶地址"
"Customer Api","客戶Api"
"Customer Configuration","顧客設置"
"Customer Group","顧客組別"
"Customer Group was successfully deleted","成功刪除客戶分組"
"Customer Group was successfully saved","成功保存客戶分組"
"Customer Groups","顧客組別"
"Customer Information","顧客信息"
"Customer Login","顧客登錄"
"Customer Since","註冊日期"
"Customer View","顧客界面"
"Customer collection expected","需要客戶組合"
"Customer doesn't have primary billing address","客戶沒有首選賬單地址"
"Customer email already exists","客戶的郵件地址已存在"
"Customer website id must be specified, when using website scope.","使用網站範圍時必須指定網站 id."
"Customers","顧客"
"Customers Only","僅限顧客"
"Customers Section","顧客單元"
"DD","日"
"Date","日期"
"Date Added","添加日期"
"Date of Birth","生日"
"Date of Birth is required.","必須填寫出生日期。"
"Day","日"
"Days in Wishlist","收藏的天數"
"Default Address:","我的地址："
"Default Billing Address","默認賬單地址"
"Default Email Domain","默認電子郵箱域名"
"Default Group","默認組別"
"Default Shipping Address","我的地址"
"Default Welcome Email","默認歡迎郵件"
"Delete","刪除"
"Delete Address","刪除地址"
"Delete Customer","刪除顧客"
"Delete Customer Group","刪除顧客組"
"Delete customer","刪除顧客"
"Delete customer address","刪除顧客地址"
"Deleted Stores","刪除商店"
"Details","詳情"
"Disabled","未激活"
"Edit","編輯"
"Edit Account Info","修改帳戶信息"
"Edit Account Information","修改帳戶信息"
"Edit Address","更改配送地址"
"Edit Address Entry","修改地址"
"Edit Customer Group ""%s""","修改客戶組別""%s"""
"Edit Customer Groups","修改客戶組別"
"Edit Customer's Address","修改客戶地址"
"Edit Group","修改組別"
"Edit Newsletter Subscription","修改郵件列表訂閱"
"Edit Newsletters","修改 Newsletters"
"Edit Personal Information","修改個人信息"
"Email","電子郵箱"
"Email:","電子郵箱:"
"Email Address","電子郵箱地址"
"Email Sender","發件人"
"Entity collection is expected","需要實體組合"
"Error during retrieval of option value: %s","獲取選項值時出錯：%s"
"Ext. Price","實際價格"
"Failed to confirm customer account.","無法確認顧客帳號。"
"Fax","傳真"
"First Name:","名字："
"First name can't be empty","名字不能為空"
"Forgot Email Sender","忘記密碼的電子郵箱發信人"
"Forgot Email Template","忘記密碼的電子郵箱模版"
"Forgot Your Password?","忘記您的密碼了？"
"From your My Account Dashboard you have the ability to view a snapshot of your recent account activity and update your account information. Select a link below to view or edit information.","您可以在「我的賬戶」查看購物積分、檢視近期購物活動或更新帳戶信息。請選擇下方鏈接查看或修改信息。"
"General Subscription","普通Newsletters訂閱"
"Global","全局"
"Go to Address Book","轉到地址薄"
"Grand Total","總額"
"Grand Total: %s","總計：%s"
"Group","組別"
"Group ""%s"" can not be deleted","分組 ""%s"" 無法刪除"
"Group Information","組別信息"
"Group Name","組別名稱"
"Guest","訪客"
"HTML","HTML"
"Hello, %s!","您好，%s!"
"ID","編號"
"IP Address","IP地址"
"If you have an account with us, please log in.","您若已經註冊，請登錄。"
"Invalid attribute option specified for attribute %s (%s), skipping the record","屬性 %s (%s)的屬性選項不正確，忽略該記錄"
"Invalid attribute set specified, skipping the record","指定的屬性集不正確，忽略該記錄"
"Invalid customer data","顧客數據錯誤"
"Invalid email address","電子郵件地址不正確"
"Invalid email address ""%s""","電子郵件地址不正確：""%s"""
"Invalid option id specified for %s (%s), skipping the record","%s (%s)的選項編號不正確，忽略該記錄"
"Invalid store specified, skipping the record","指定的商店不正確，忽略該記錄"
"Items Order","訂購商品"
"Last 5 Orders","最近 5 個訂單"
"Last Activity","最近訪問記錄"
"Last Name:","姓氏："
"Last Url","最近 URL"
"Last Viewed Items","最近查看"
"Last date subscribed","最後訂閱日期"
"Last date unsubscribed","最後退訂日期"
"Last name can't be empty","姓氏不能為空"
"Leave empty for default (15 minutes).","若騰空不填，設置為默認（15分鐘）。"
"Leave empty for default (2). Valid range: 1-4","若騰空不填，設置為默認（2）。有效度: 1-4"
"Lifetime Sales","全部銷售"
"Log In","登錄"
"Log Out","退出"
"Log in or Create an Account","登錄或新建帳戶"
"Login","登陸"
"Login Information","登錄信息"
"Login and password are required","需要用戶名和密碼"
"Login or Create an Account","登陸或註冊新帳戶"
"M.I.","M.I."
"MM","月"
"Manage Addresses","地址管理"
"Manage Customers","顧客管理"
"Missing email, skipping the record","缺少電子郵件，忽略該記錄"
"Missing firstname, skipping the record","缺省名字，忽略該記錄"
"Missing lastname, skipping the record","缺少姓氏，忽略該記錄"
"Month","月份"
"My Account","我的帳戶"
"My Dashboard","我的帳號面板"
"My Orders","我的訂單"
"My Reviews","我的評論"
"My Tags","我的標籤"
"My Wishlist","我的收藏"
"Name","姓名"
"Name and Address Options","姓名與地址選項"
"Never","從不"
"New Address","新地址"
"New Address Entry","添加新地址"
"New Customer","新顧客"
"New Customer Address","新顧客地址"
"New Customer Group","新顧客組別"
"New Customer Groups","新顧客組別"
"New Customers","新顧客"
"New Group","新的組別"
"New Password","新密碼"
"New account","新帳戶"
"New account confirmation key","新帳戶認證碼"
"New account confirmed","新帳戶已確認"
"New password","新密碼"
"Newsletter","電子報"
"Newsletter Finish","Newsletter發送完成"
"Newsletter Information","Newsletter信息"
"Newsletter Received","Newsletter開始接收"
"Newsletter Start","Newsletter開始發送"
"Newsletter Subscription","訂閱Newsletter"
"Newsletters","郵件列表"
"No Items Found","沒有找到項目"
"No Newsletter Found","沒Newsletter存在。"
"No item specified.","未選定記錄。"
"No product collections found","沒有找到商品組合"
"Not Sent","發送未成功"
"Not confirmed, can login","未驗證，允許登錄"
"Not confirmed, cannot login","未驗證，不允許登錄"
"Number of lines in a street address ","地址行數"
"Offline","離線"
"Online","在線"
"Online Customers","在線顧客"
"Online Customers Options","在線顧客選項"
"Online Minutes Interval","在線間隔分鐘"
"Order #","訂單 #"
"Order #%s (%s)","訂單號%s (%s)"
"Order List...","訂單列表..."
"Order Total","訂單金額"
"Orders","訂單"
"PDF","PDF格式"
"Password","密碼"
"Password:","密碼："
"Password Management","密碼管理"
"Password Options","密碼選項"
"Password can't be empty","密碼不能為空"
"Password fields can't be empty.","密碼字段不能為空。"
"Password forgotten","忘記密碼了"
"Password minimal length must be more %s","密碼長度必須大於 %s"
"Password must have at least 6 characters. Leading or trailing spaces will be ignored.","密碼最少6個字符，前後空格將被忽略。"
"Paused","暫停"
"Payment Method","支付方式"
"Pending","待審"
"Pending Approval","等待審核"
"Per Website","獨立網站"
"Personal Information","私人信息"
"Please enter your email below and we'll send you a new password.","請在下面輸入您的電子郵件，我們會將新的密碼發給您。"
"Please enter your email below and we'll send you confirmation link for it.","請輸入電郵以獲取確認鏈接。"
"Please enter your email.","請輸入電子郵箱地址。"
"Please make sure your passwords match.","請確保密碼一致。"
"Please select","請選擇"
"Please select region, state or province","請選擇地區、省份"
"Please, check your e-mail for confirmation key.","請檢查您的電子郵件，查看確認碼。"
"Prefix","前綴"
"Prefix dropdown options","稱謂下拉選項"
"Price","價格"
"Primary Billing Address","主要賬單地址"
"Primary Shipping Address","主要配送地址"
"Problem saving the collection, aborting. Error: %s","保存組合出錯，退出。錯誤：%s"
"Product","商品"
"Product ID","商品ID"
"Product Name","商品名"
"Product Reviews","商品評論"
"Product Tags","商品標籤"
"Product name","商品名稱"
"Purchase On","購買日期"
"Purchased at","購買時間"
"Qty","件"
"Recent Orders","最近的訂單"
"Records for ""","記錄"""
"Refunded","退款"
"Registered Customers","已註冊顧客"
"Remove","刪除"
"Reset a Password ","帳號密碼重置"
"Reset a Password","重置密碼"
"Require Emails Confirmation","需要確認電子郵箱"
"Retrieve address data","獲取地址數據"
"Retrieve address info","獲取地址信息"
"Retrieve customer addresses","獲取顧客地址"
"Retrieve customer data","獲取顧客數據"
"Retrieve customer's groups","獲取客戶組"
"Retrieve customers","獲取顧客資料"
"Retrieve customers info","獲取客戶信息"
"Retrieve your confirmation link here","獲取確認鏈接"
"Retrieve your password here","獲取你的密碼"
"SKU","商品號碼"
"Sales Statistics","銷售統計報告"
"Save","儲存"
"Save Address","儲存地址"
"Save Customer","儲存顧客"
"Save Customer Group","儲存顧客組"
"Save Password","儲存密碼"
"Saved ","已保存 "
"Semicolon (;) separated values.<br/>Put semicolon in the beginning for empty first option.<br/>Leave empty for open text field.","分號 (;) 值<br/>放符號於空無選項前。<br/>文字行段留白。"
"Send Welcome Email after Confirmation","確認後發送郵件"
"Send auto-generated password","發送自動生成的密碼"
"Send confirmation link","發送確認鏈接"
"Send welcome email","發送歡迎郵件"
"Sending","發送中"
"Sent","已寄送"
"Session Start Time","瀏覽（Session）開始時間"
"Set as Default Billing Address","設為默認的賬單地址"
"Set as Default Shipping Address","設為默認的配送地址"
"Share Customer Accounts","分享顧客帳號"
"Ship to First name","收貨人名字"
"Ship to Last name","收貨人姓氏"
"Shipped to First Name","收貨人名字"
"Shipped to Last Name","收貨人姓氏"
"Shipped to Name","收貨人姓名"
"Shipping Information","配送信息"
"Shipping Method","配送方式"
"Shopping Cart - %d item(s)","購物車 - %d(件)"
"Show Tax/VAT number","顯示稅號/增值稅號碼"
"Show date of birth","顯示生日"
"Show middle name (initial)","顯示中間名"
"Show prefix","顯示稱謂"
"Show suffix","顯示後綴"
"Sign Up for Newsletter","訂閱Newsletter"
"Sign up for our newsletter","登記我們的郵件列表"
