"Attempt to add an invalid object","要增加的對象不正確"
"Attribute '%s' used in configurable products.","'%s'屬性用在可配置商品裡。"
"Attribute set with the ""%s"" name already exists","名為""%s"" 的屬性組已存在"
"Attribute used in configurable products.","用於可配置商品中的屬性。"
"Attribute with the same code","同樣代號名的屬性"
"Data integrity: No header row found for attribute","數據完整性：屬性中沒有標題行"
"Default Product Listing Sort by not exists on Available Product Listing Sort by","Default Product Listing Sort by not exists on Available Product Listing Sort by"
"Default option value is not defined","缺省選項值未定義"
"EAV types and attributes","EAV 類型與屬性"
"Entity collection expected","需要實體組合"
"Entity collections expected","需要實體組合"
"Entity is not initialized","實體未初始化"
"Failed to load node %s from config.","配置節點%s加載失敗。"
"Frontend label is not defined","前台標籤未定義"
"Invalid alias, already exists in joined attributes","別名不正確，已在聯合屬性中"
"Invalid attribute name: %s","屬性名不正確：%s"
"Invalid attribute requested: %s","無效的%s屬性要求。"
"Invalid attribute type","屬性類型不正確"
"Invalid character encountered in increment ID: %s","增量ID裡有無效的字符： %s"
"Invalid data object key","數據對像鍵不正確"
"Invalid entity specified","指定的實體無效。"
"Invalid entity supplied","提供的實體不正確"
"Invalid entity supplied: %s","提供的實體不正確: %s"
"Invalid entity type","實體類型不正確"
"Invalid entity_id, skipping the record","entity_id不正確，忽略該記錄"
"Invalid entity_type specified: %s","指定的entity_type無效： %s"
"Invalid foreign key","外鍵不正確"
"Invalid joined fields","聯合字段不正確"
"Invalid store specified","指定的商店無效"
"Joined field or attribute expression with this alias is already declared","該別名的聯合字段或屬性表達式已聲明"
"Joined field with this alias (%s) is already declared","別名(%s)的聯合字段已聲明"
"Joined field with this alias is already declared","別名的聯合字段已聲明"
"Loaded %d records","%d記錄已加載。"
"No","無"
"No options found in config node %s","配置節點%s下未找到選項"
"Problem loading a record, aborting. Error: %s","加載記錄出錯，退出。錯誤：%s"
"Problem loading the collection, aborting. Error: %s","加載時出現錯誤，終止中。錯誤信息：%s"
"Problem saving a record, aborting. Error: ","保存記錄出錯，退出。錯誤："
"Problem saving the collection, aborting. Error: %s","儲存時出現錯誤，終止中。錯誤信息：%s"
"Saved ","已保存 "
"Scope must not be changed, because the attribute is used in configurable products.","範圍必須更改，因為屬性用於可設置商品。"
"The attribute code '%s' is reserved by system. Please, try another attribute code.","屬性代碼'%s'為系統保留代碼，請嘗試其他的屬性代碼。"
"Unknown parameter","未知參數"
"Valid store_id is expected!","需要正確的store_id"
"Value of attribute ""%s"" must be unique","屬性""%s""的值必須唯一"
"Wrong attribute ID","屬性編號錯誤"
"Wrong attribute group ID","屬性組編號錯誤"
"Wrong attribute set ID","屬性組合編號錯誤"
"Wrong entity ID","實體編號錯誤"
"Yes","是"
