"* Select shipping method","* 選擇配送方式"
"AVS Status: %s","AVS 狀態： %s"
"Add","添加"
"Add Shipping Method","添加新配送方式"
"Allowed Methods","允許的配送方式"
"Amount: %s","金額： %s"
"Auto-generated from GoogleCheckout Charge","GoogleCheckout自動生成的費用。"
"Buyer account age: %s days","購貨人帳戶時間：%s天"
"CC Partial: xxxx-%s","部分信用卡號碼: xxxx-%s"
"CID Status: %s","CID 狀態：%s"
"Carrier Calculated Methods","承運商計算方式"
"Cart Discount","購物車折扣"
"Checkout Image Style","結算圖片格式"
"Continue Shopping URL","繼續購物URL"
"Debug","調試"
"Default Package Height (in)","默認包裹高度（內部）"
"Default Package Length (in)","默認包裹長度（內部）"
"Default Package Width (in)","默認包裹寬度（內部）"
"Default price for methods","缺省的配送方式價格"
"Default price:","默認價格："
"Delivery Address Category","寄送地址分類"
"Delivery schedule","Delivery schedule"
"Disable Default Tax Tables","禁用默認稅率表"
"Eligible for protection: %s","有效保護: %s"
"Enable","啟用"
"Enable Carrier Calculated","啟用計費運輸"
"Enable Digital Delivery","啟用數碼寄送"
"Enable Flat Rate","固定運費"
"Enable Merchant Calculated","啟用商戶計算"
"Enable this if your checkout request is too big and being cut off.","如果結帳請求因太長而被截斷，啟用此選項。"
"Expiration: %s","有效期： %s"
"Financial: %s -> %s","財務：%s -> %s"
"Free Shipping","免運費"
"Fulfillment: %s -> %s","實現: %s -> %s"
"Google API","Google API"
"Google Authorization:","Google授權："
"Google Buyer Id: %s","Google 購物人編號：%s"
"Google Charge:","Google 收費:"
"Google Checkout","Google 結帳"
"Google Checkout Shipping - Carrier Calculated","Google Checkout Shipping - 承運商計算"
"Google Checkout Shipping - Digital Delivery","Google Checkout Shipping - 數碼寄送"
"Google Checkout Shipping - Flat Rate","Google Checkout Shipping - 固定運費"
"Google Checkout Shipping - Merchant Calculated","Google Checkout Shipping - 商戶計算"
"Google Checkout: %s","Google 結帳：%s"
"Google Order Number: %s","Google訂單號: %s"
"Google Refund:","Google退款："
"Google Risk Information:","Google風險信息"
"Google order status change:","Google 訂單狀態變化："
"Hide Cart Contents During Checkout","結帳時不顯示購物車中商品"
"IP Address: %s","IP地址： %s"
"If enabled, cart contents will be hidden after clicking on the Google Checkout button in the shopping cart, and restored if ""Edit Cart"" link was activated.","若啟用此項，在購物車中點擊Google Checkout按鈕後購物車內容將會隱藏，若激活「編輯購物車」鏈接則恢復相關內容。"
"Invoice auto-created: %s","自動生成發票：%s"
"Is Buyer Willing To Receive Marketing E-Mails: %s","購物人是否希望接收到推銷類郵件: %s"
"Large - %s","大號 - %s"
"Latest Charge: %s","最新手費： %s"
"Latest Refund: %s","最新退款: %s"
"Location","地點"
"Medium - %s","中號- %s"
"Merchant ID","商戶ID"
"Merchant Key","商戶密鑰"
"Method","方式"
"New order status","新訂單狀態"
"No","否"
"Optional, leave empty for home page.","可選，留空為首頁。"
"Rate 1 Amount","費率一總額"
"Rate 1 Ship To Applicable Countries","費率一， 寄送到相關國家"
"Rate 1 Ship to Specific Countries","費率一， 寄送到特定國家"
"Rate 1 Title","費率一標題"
"Rate 2 Amount","費率二總額"
"Rate 2 Ship To Applicable Countries","費率二， 寄送到相關國家"
"Rate 2 Ship to Specific Countries","費率二， 寄送到特定國家"
"Rate 2 Title","費率二標題"
"Rate 3 Amount","費率三總額"
"Rate 3 Ship To Applicable Countries","費率三， 寄送到相關國家"
"Rate 3 Ship to Specific Countries","費率三， 寄送到特定國家"
"Rate 3 Title","費率三標題"
"Remove","刪除"
"Required for live Google Checkout transactions.","只用於Google Checkout上線交易。"
"Sandbox","測試（Sandbox）"
"Secure Callback URL","安全呼叫（Callback）URL"
"Small - %s","小號 - %s"
"Total Charged: %s","總付款： %s"
"Total Refunded: %s","退款總額： %s"
"Transparent","透明"
"United Kingdom","英國"
"United States","美國"
"Virtual item to reflect discount total","虛擬商品計算總折扣"
"White Background","白色背景"
"You will be redirected to GoogleCheckout in a few seconds.","於數秒內您將被轉至GoogleCheckout網站。"
