"-- Please Select --","-- 請選擇 --"
"Account Registration","註冊"
"All fields of script types have to be filled.","所有文本框都需填寫。"
"Attributes","屬性"
"Category View Optimization","目錄界面優化"
"Control Script","控制文字"
"Conversion Page","換算頁"
"Conversion Page URL","換算頁URL"
"Conversion Script","換算文本"
"Enable","啟動"
"Google Optimizer Scripts","Google優化文本"
"Google Website Optimizer","Google網站優化器（Website Optimizer）"
"Install Scripts","安裝文本"
"Limit is 8 attributes only.","屬性限制數量為8"
"Multi Address Checkout","多地址結算"
"One Page Checkout","單頁（One Page）結算"
"Order Success (Multi Address Checkout)","訂單成功（多地址結算)"
"Order Success (One Page Checkout)","訂單成功（單頁（One Page）結算)"
"Original Page","原始頁"
"Other","其它"
"Page Type","頁面類型"
"Page View Optimization","頁面界面優化"
"Please copy and paste this value to experiment edit form","請拷貝並粘貼這個值從而測試編輯表單"
"Please select store view to see the URL","請選擇商店界面從而查看網址（URL）"
"Product View Optimization","商品界面優化"
"Scripts Install URL","S文本安裝網址（URL）"
"Tracking Script","追蹤（Tracking）文本"
"Use Default","使用默認"
"Use Default Values","使用默認值"
"Variant Page","變體頁面"
