"API Login ID","API登錄ID"
"Authorize Only","僅授權"
"Authorize and Capture","授權和攫取"
"Authorize.net","Authorize.net"
"Credit Card Types","信用卡類型"
"Credit Card Verification","信用卡驗證"
"Debug","調試（測試）"
"Email customer","發郵件給客戶"
"Enabled","已啟用"
"Error in authorizing the payment","支付授權時出錯"
"Error in capturing the payment","接受支付時出錯"
"Error in payment gateway","支付網關錯誤"
"Error in refunding the payment","退款時出錯"
"Error in refunding the payment.","退款時出錯。"
"Error in retrieving the transaction","獲取交易信息錯誤"
"Fraud order status","欺詐訂單狀態"
"Gateway request error: %s","網關請求錯誤：%s"
"Invalid amount for authorization","授權金額不正確"
"Invalid amount for authorization.","授權金額無效。"
"Invalid transaction id","交易編號不正確"
"Maximum Order Total","訂單最大值"
"Merchant Login","商戶登錄"
"Merchant's email","商戶的電子郵件"
"Minimum Order Total","訂單最小值"
"New order status","新訂單狀態"
"Partner","合作夥伴"
"Password","密碼"
"Payflow Pro","Payflow Pro"
"Payment Action","支付操作"
"Payment authorization error.","付款授權錯誤。"
"Payment authorization transaction has been declined.","付款授權交易被拒絕。"
"Payment from Specific countries","從指定國家付款"
"Payment from applicable countries","從適用國家付款"
"Proxy Host","代理主機"
"Proxy Port","代理端口"
"Sort order","排序"
"TENDER","TENDER"
"Test mode","測試模式"
"Title","標題"
"Transaction key","交易密鑰"
"URL","網址"
"Use Proxy","使用代理"
"User","用戶"
"VERBOSITY","文本輸出"
"Voided transaction","無效交易"
