"--Please Select--","--請選擇--"
"<label>Make Check payable to:</label> %s","<label>支票抬頭：</label> %s"
"<label>Make Check payable to</label>: %s","<label>支票收款人</label>：%s"
"Automatically invoice all items","Automatically invoice all items"
"Can not configuration for payment method with code: %s","無法設置支付方式代碼：%s"
"Can not retrieve payment info model object.","無法獲取支付信息模塊對象。"
"Can not retrieve payment method instance","無法獲取支付方式實例"
"Can not retrieve payment method model object.","無法獲取支付方式模塊對象。"
"Card Verification Number","信用卡檢驗碼"
"Check / Money order ","支票/匯票"
"Credit Card Number","信用卡號碼"
"Credit Card Number: %s","信用卡號碼：%s"
"Credit Card Number: xxxx-%s","信用卡號碼: xxxx-%s"
"Credit Card Type","信用卡類型"
"Credit Card Type: %s","信用卡類型： %s"
"Credit Card Types","信用卡類型"
"Credit Card Verification","信用卡核對"
"Enabled","啟用"
"Expiration Date","有效期"
"Expiration Date: %s/%s","有效期：%s/%s"
"Make Check payable to","支票收款人"
"Make Check payable to: %s","支票抬頭: %s"
"Maximum Order Total","最高訂單總額"
"Minimum Order Total","最低訂單總額"
"Month","月份"
"Name on Card","持卡人名字"
"Name on the Card: %s","持卡人名字：%s"
"New order status","新訂單狀態"
"Payment Methods","支付方式"
"Payment Methods Section","支付方式單元"
"Payment from Specific countries","指定國家支付"
"Payment from applicable countries","適用國家支付"
"Purchase Order Number","訂購單號"
"Purchase Order Number: %s","訂購單號: %s"
"Purchase order","購貨合同"
"Saved CC","已儲存 CC"
"Send Check to","支票寄給"
"Send Check to:","支票寄給："
"Sort order","排序"
"Title","標題"
"What is this?","這是什麼？"
"Year","年份"
"Zero Subtotal Checkout","零額結帳"
"SHOP NOW","立即購買"
"Credit Card (saved) ","信用卡支付"
"Credit card number does not match credit card type.","信用卡號碼與信用卡類型不符"
"Card type does not match credit card number.","信用卡類型與信用卡號碼不符"
"Submitting order...","提交訂單..."
