"Actions","操作"
"Add Answer","添加答案"
"Add New Answer","添加新答案"
"Add New Poll","添加新問卷"
"Answer Title","答案標題"
"Answer Title:","答案標題："
"Answer was successfully saved","成功保存選項"
"Answer with the same title in this poll","相同的答案於此問卷中"
"Are you sure you want to delete it?","您確定要刪除它？"
"Assigned Answers","已指定的答案"
"Closed","已關閉"
"Community Poll","社區問卷"
"Date Closed","已關閉日期"
"Date Posted","發佈日期"
"Delete","刪除"
"Delete Answer","刪除答案"
"Delete Poll","刪除問卷"
"Disallow voting in a poll multiple times from same IP-address","禁止相同IP地址重複投票"
"Edit Answer '%s'","編輯答案'%s'"
"Edit Poll '%s'","編輯問卷'%s'"
"Edit Poll Answer","編輯問卷答案"
"ID","編號"
"Invalid Answer","無效選項"
"New Poll","新問卷"
"Number of Responses","回復次數"
"Open","開放"
"Poll Answers","問卷答案"
"Poll Information","問卷信息"
"Poll Manager","問卷管理"
"Poll Question","問卷問題"
"Poll information","問卷信息"
"Poll not exists","投票不存在"
"Poll with the same question","相同的問卷問題"
"Save Answer","保存答案"
"Save Poll","儲存文件"
"Status","狀態"
"Unable to find answer to delete.","沒有找到要刪除的選項。"
"Visible In","顯示於"
"Vote","投票"
"Votes Count","投票計算"
"Votes Count:","投票計算："
