"Alert Email Sender","提醒發件人"
"Alert subscription was deleted successfully","成功刪除訂閱提醒郵件"
"Alert subscription was saved successfully","成功保存訂閱提醒郵件"
"Allow alert when product comes back in stock","允許有庫存時提醒"
"Allow alert when product price changes","允許價格變化時提醒"
"Click here not to receive alerts for this product","點擊這裡已拒接接收商品提示"
"Error Email Recipient","收件人電郵錯誤"
"Error Email Sender","發件人電郵錯誤"
"Error Email Template","電郵模版錯誤"
"Frequency","頻率"
"Not enough parameters","沒有足夠的參數"
"Notify Me","通知我"
"Please try again later","請稍後再試"
"Price alert Email Template","價格提醒郵件的模板"
"Price:","價格："
"Product Alerts","商品提示"
"Product Alerts Run Settings","商品提示設置"
"Product alerts Cron error","商品提示定時作業錯誤"
"Product not found","商品未找到"
"Product price alert","商品價格提示"
"Product stock alert","商品庫存提示"
"Sign in to be notified and get a 10% discount.","登陸得到通知，并獲得九折優惠。"
"Sign up for price alert","註冊價格提示通知"
"Sign up to get notified when this product is back in stock","此商品有庫存後，通知我。"
"Special price:","特價："
"Start Time","開始時間"
"Stock alert Email Template","庫存提醒郵件的模板"
"Unsubscribe from all price alerts","退訂所有價格提示。"
"Unsubscribe from all stock alerts","退訂所有庫存提示。"
"You are receiving this notification because you subscribed to receive alerts when the following products are back in stock:","您之所以收到此郵件是因為您訂閱了庫存提示通知。"
"You are receiving this notification because you subscribed to receive alerts when the prices for the following products changed:","您之所以收到此郵件是因為您訂閱了此商品的價格提示通知。"
"You will no longer receive price alerts for this product","您不會再收到該商品的價格提醒"
"You will no longer receive stock alerts","您不會再收到庫存提醒"
"You will no longer receive stock alerts for this product","您不會再收到該商品的庫存提醒"
"The alert subscription has been saved.","提醒郵件訂閱成功！"
"Alert subscription has been saved.","提醒郵件訂閱成功！"
