"%s reviews ,","%s條評論 ,"
"1 star","1星"
"2 stars","2星"
"3 stars","3星"
"4 stars","4星"
"5 stars","5星"
"Add New Rating","增加新評級"
"Assigned Options","指定的選項"
"Be the first to review this product","搶先評論此商品"
"Default Value","默認值"
"Delete Rating","刪除評級"
"Edit Rating","編輯評級"
"ID","編號"
"If you do not specify a rating title for a store, the default value will be used.","如果您沒有給商店輸入評級標題，默認名將被使用。"
"Manage Ratings","管理評級"
"New Rating","評級"
"Option Label","選項標記"
"Option Title","選項"
"Option Title:","選項名稱："
"Please select one of each ratings above","請在上面選擇一個評級"
"Rating Information","評級內容"
"Rating Name","評級名稱"
"Rating Options","評級標題"
"Rating Title","評級標題"
"Rating Visibility","評級顯示"
"Rating isn't Available","顧客未留評級"
"Rating with the same title","評級標題重複"
"Save Rating","儲存評級"
"Visible In","顯示於"
