"Abandoned carts","放棄結算的購物車"
"Action","操作"
"Add to Cart","添加到購物袋"
"Add to Compare","比較"
"Add to Wishlist","加入我的收藏"
"Add to wish list","加入我的收藏"
"Applied Coupon","優惠券已應用。"
"Avg. approved rating","平均審核評級"
"Avg. rating","平均評級"
"Bestsellers","暢銷商品"
"Bought from wishlists","購買於收藏"
"CSV","CSV"
"Carrier/Method","方式"
"Carts","購物車"
"Coupons","優惠券"
"Created at","創建於"
"Customer","顧客"
"Customer Name","顧客名字"
"Customer Tags","顧客標籤"
"Customers","客戶"
"Customers Report","顧客報告"
"Customers Reviews","顧客評論"
"Customers Tags","顧客標籤"
"Customers by number of orders","根據訂單數排列的顧客"
"Customers by orders total","根據訂單總額排列的顧客"
"Customers that have wishlist: %s%","有收藏商品的顧客：%s%"
"Day","日"
"From","開始日期"
"To","完成日期"
"Default Recently Compared Products count","默認「最近比較商品」顯示數量"
"Default Recently Viewed Products count","默認「最新查看商品」顯示數量"
"Detail","詳情"
"Discounts","優惠"
"Downloads","下載"
"Email","電郵"
"Excel","Excel"
"First Name","名字"
"Guest","訪客"
"Hits","點擊"
"ID","編號"
"Invalid date specified","指定日期有誤"
"Invoiced","已出發票"
"Items Ordered","訂購商品"
"Items in Cart","購物車內的商品"
"Last Name","姓氏"
"Last Review","最新評論"
"Link","鏈接"
"Low stock","低庫存"
"Month","月份"
"Most Viewed","最多瀏覽的"
"Most viewed","查看次數最多"
"Name","名稱"
"New Accounts","新帳號"
"Number Added","數(號)已添加。"
"Number Fulfilled","完成次數"
"Number Of Historical Uses","記錄使用數"
"Number Of Reviews","評論次數"
"Number Of Uses","使用次數"
"Number Purchased","購買次數"
"Number Viewed","查看次數"
"Number of Items","商品數"
"Number of Ivoiced Orders","已出發票訂單數量"
"Number of New Accounts","新帳號數"
"Number of Orders","訂單數量"
"Number of Refunded Orders","退款訂單數量"
"Number of Reviews","評論次數"
"Number of Total Tags","標籤總數"
"Number of Unique Tags","獨立標籤次數"
"Number of Views","查看次數"
"Number of items bought from a wishlist: %s","收藏商品被購買次數: %s"
"Number of times deleted","刪除次數"
"Number of times wishlists have been shared (emailed): %s","收藏商品被共享次數 (通過電郵): %s"
"Number of wishlist conversions: %s","已換算的收藏件數：%s"
"Number of wishlist referrals: %s","推薦的收藏件數：%s"
"Number of wishlists: %s","收藏件數： %s"
"Offline Refunded","離線退款"
"Online Refunded","在線退款"
"Orders","訂單"
"Out of stock","無庫存"
"Poducts Report","商品報告"
"Popular Tags","熱門標籤"
"Popularity","熱門度"
"Price","價格"
"Product Name","商品名稱"
"Product Reviews","商品評論"
"Product Sku","商品號碼"
"Product Tags","商品標籤"
"Products","商品"
"Products Report","商品報告"
"Products Reviews","商品評論"
"Products Sold","Products Sold"
"Products Tags","商品標籤"
"Products in carts","購物車中商品"
"Purchases","購買"
"Quantity Ordered","購買的件數"
"Quantity of Items","商品件數"
"Rate","評級"
"Recently Compared Products","最近比較的商品"
"Recently Viewed Products","最近瀏覽過的商品"
"Recently Viewed/Compared Products","最近瀏覽過/比較過的商品"
"Refunded","已退款"
"Reports","報告"
"Results","結果"
"Revenue","利潤"
"Review","評論"
"Reviews","評論"
"Reviews for %s","評論%s"
"Sales","銷售"
"Sales Report","銷售報告"
"Search Terms","搜尋關鍵詞"
"Shipping","配送"
"Show for Current","當前顯示"
"Stock Qty","庫存件數"
"Submitted In","提交於"
"Submitted On","提交於"
"Subtotal","小計"
"Tag","標籤"
"Tag ""%s"" details","""%s""標籤的詳情"
"Tag Detail","標籤詳情"
"Tag Name","標籤名"
"Tag use","標籤使用"
"Tags submited by %s","標籤提交人%s"
"Tags submitted to %s","標籤提交於%s"
"Tax","稅"
"Tax Amount","稅額"
"Title","標題"
"Total","總額"
"Total Invoiced","已出發票總計"
"Total Invoiced Captured","已出發票收款總計"
"Total Invoiced not Captured","已出發票未收款總計"
"Total Refunded","退款總計"
"Total Shipping","發貨總計"
"Total Tags","總標籤"
"Total invoiced","總發票"
"Total refunded","總退貨"
"Updated at","更新於"
"Visible In","顯示於"
"Wishlist Report","收藏報告"
"Wishlist vs. Regular Order","收藏和一般訂單對比"
"Wishlists","收藏"
"Year","年份"
"Your Recently Compared","您最近比較過的商品："
"Your Recently Viewed","您最近瀏覽過的商品："
"Recently Viewed","最近瀏覽過的"
"Canceled","已取消"
"Closed","已關閉"
"Complete","完成"
"Shipped","已發送"
