"%s - Discounts and Coupons","%s - 折扣和優惠券"
"%s - Special Discounts","%s - 特價"
"%s RSS Feed","%s RSS 訂閱"
"%s has reached a quantity of %s.","%s的數量為%s。"
"%s's Wishlist","%s收藏"
"Cannot retrieve the wishlist","無法讀取收藏"
"Catalog","目錄"
"Category Feeds","目錄Feeds"
"Comment: %s<br/>","評論: %s<br/>"
"Coupons/Discounts","折扣/優惠券"
"Current Status: %s<br/>","當前狀態：%s<br/>"
"Customer Name: %s","顧客名字：%s"
"Customer Order Status Notification","顧客訂單狀態通知"
"Details for %s #%s","%s編號%s的詳情"
"Discount ","折扣"
"Enable RSS","啟動RSS"
"Error in processing xml. %s","處理xml%s中出錯"
"From:","從："
"Get Feed","獲取Feed"
"Gift Message","禮物留言"
"Grand Total","全總額"
"Low Stock Products","低庫存商品"
"Message:","評論："
"Miscellaneous Feeds","雜項訂訂閱"
"New Orders","新訂單"
"New Products","新商品"
"New Products from %s","來自%s的新商品"
"Notified Date: %s<br/>","通知日期：%s<br/>"
"Order # %s Notification(s)","訂單%s通知"
"Order #%s created at %s","訂單號%s之訂購日期%s"
"Pending product review(s)","待核商品評論"
"Product: ""%s"" review By: %s","商品：""%s""%s評論"
"Product: <a href=""%s"">%s</a> <br/>","商品：<a href=""%s"">%s</a> <br/>"
"Products tagged with %s","商品標記為%s"
"Purchased From: %s","購買於：%s"
"RSS","RSS"
"RSS Feeds","RSS訂閱"
"RSS testing","RSS 測試"
"Review: %s <br/>","評論：%s <br/>"
"Rss Config","Rss設置"
"Rss Feeds Section","Rss訂閱單元"
"Shipping & Handling","配送處理"
"Special Products","特價商品"
"Special/Discount Products","特價/折價商品"
"Store: %s <br/>","商店： %s <br/>"
"Subtotal","小計"
"Summary of review: %s <br/>","評論摘要：%s <br/>"
"Tags Products","商品標籤"
"Tax","稅"
"There are no Rss Feeds","無Rss訂閱"
"There are no Rss Feeds.","There are no Rss Feeds."
"To:","給："
"Top Level Category","首級目錄分類"
"Total Products: %s","產品總計: %s"
"Total: %s<br/>","總額：%s<br/>"
"Wishlist","收藏"
"click <a href=""%s"">here</a> to view the review","點擊<a href=""%s"">這裡</a>以查看評論"
