"ALL","全部"
"ANY","之一"
"Add","增添"
"Apply","應用"
"Description: %s","說明： %s"
"Expire at: %s","有效期： %s"
"FALSE","負"
"If %s of these conditions are %s:","如%s的條件為%s："
"Invalid discount amount.","錯誤的折扣價格"
"MATCHING ALL","全部匹配"
"MATCHING ANY","任意匹配"
"NOT MATCHING ALL","不全部匹配"
"NOT MATCHING ANY","不任意匹配"
"Name: %s","%s"""
"Open Chooser","打開選擇"
"Perform following actions","執行以下操作"
"Please choose a condition to add...","請選擇要增加的條件..."
"Please choose an action to add...","請選擇要增加的操作..."
"Remove","刪除"
"Start at: %s","開始： %s"
"TRUE","正"
"by","於"
"contains","含有"
"does not contain","不含有"
"equals or greater than","等於或大於"
"equals or less than","等於或小於"
"greater than","大於"
"is","為"
"is not","不是"
"is not one of","非其中之一"
"is one of","乃其中之一"
"less than","少於"
"to","給"
