" The customer doesn't exist in the system anymore","該客戶已不存在系統中"
"""%s"" coupon code is not valid.","""%s""優惠券代碼不正確。"
"%s / %s rate:","比例： %s / %s "
"%s for %s","%s for %s"
"%s order(s) successfully canceled","成功取消 %s 個訂單"
"%s order(s) successfully put on hold","成功掛起 %s 個訂單"
"%s order(s) successfully released from holding status","成功取消 %s 個訂單的掛起狀態"
"* - Enter custom price excluding tax","* - 輸入自定義不含稅價格"
"* - Enter custom price including tax","* - 輸入自定義含稅價格"
"About This Order:","關於此訂單："
"About Your Order","關於您的訂單"
"Account Information","帳號信息"
"Action","操作"
"Actions","操作"
"Add","添加"
"Add Gift Messsage","添加禮物留言"
"Add New Address","添加新地址"
"Add Order Comments","添加訂單備註"
"Add Products","添加商品"
"Add Selected Product(s) to Option","添加所選擇的商品到選項裡"
"Add Selected Product(s) to Order","添加所選擇的商品到訂單裡"
"Add To Order","添加至訂單"
"Add Tracking Number","添加物流追蹤號"
"Add a gift message for <strong>each gift item</strong>","增加<strong>每件禮物</strong>的禮物留言"
"Add a gift message for the <strong>entire order</strong>","增加<strong>整個訂單</strong>的禮物留言"
"Add comment to order","添加備註到訂單裡"
"Add new comment to shipment","添加備註到貨單（shipment）裡"
"Add new tracking number","添加新的物流追蹤號"
"Add to Cart","添加至購物車"
"Address","地址"
"Adjustment Fee","差價"
"Adjustment Fee:","差價："
"Adjustment Refund","差價退款"
"Adjustment Refund:","差價退款："
"Allow Reorder","允許重下訂單"
"Amount","金額"
"Append Comments","加備註"
"Apply","使用"
"Apply Coupon Code","使用優惠券"
"Are you sure you want to cancel this order?","您確定要取消次訂單？"
"Are you sure?","您確定？"
"Are you sure? This order will be cancelled and a new one will be created instead","您確認嗎？該訂單將被取消並會生成新訂單"
"Back to My Orders","返回我的訂單"
"Backordered","缺貨訂單"
"Bill to First name","賬單名字"
"Bill to Last name","賬單姓氏"
"Bill to Name","賬單姓名"
"Billing Address","賬單地址"
"Buy %s for price %s","購買 %s每件%s"
"Can not add order history.","無法增加訂單日誌。"
"Can not create block ""%s""","無法創建方框""%s"""
"Can not do invoice for order.","無法為訂單生成發票"
"Can not do shipment for order.","無法執行訂單配送。"
"Can not register existing creditmemo","無法登記已有付款"
"Can not register existing invoice","無法登記已有發票"
"Can not register existing shipment","無法登記已有配送"
"Can't get order instance","無法獲取訂單實例"
"Cancel","取消"
"Cancel invoice","取消發票"
"Cancel order","取消訂單"
"Canceled","已取消"
"Cannot create an empty shipment.","無法創建空貨單。"
"Capture","攫取"
"Capture Amount","攫取金額"
"Capture Offline","非線上攫取"
"Capture Online","線上攫取"
"Capture invoice","攫取發票"
"Carrier","物流商"
"Change Status","更改狀態"
"Change status, add comments","更改狀態，加備註"
