"Action","操作"
"Add Sitemap","增加網站地圖"
"Always","總是"
"CMS Pages Options","CMS頁面選項"
"Categories Options","目錄分類選項"
"Daily","按日"
"Edit Sitemap","修改網站地圖"
"Enabled","啟用"
"Error Email Recipient","錯誤收件人"
"Error Email Sender","錯誤發件人"
"Error Email Template","錯誤郵件模版"
"File ""%s"" cannot be saved. Please, make sure the directory ""%s"" is writeable by web server.","""%s""無法儲存。Please, make sure the directory ""%s"" is writeable by web server."
"Filename","文件名"
"Frequency","頻率"
"Generate","生成"
"Generation Settings","設置生成"
"Google Sitemap","Google網站地圖"
"Google Sitemap Section","Google 網站地圖單元 "
"Hourly","按時"
"ID","編號"
"Last Time Generated","最後生成時間"
"Link for Google","Google鏈接"
"Monthly","按月"
"Never","從未"
"New Sitemap","新建網站地圖
Path"""
"Path","路徑"
"Please create the specified folder ""%s"" before saving the sitemap.","在保存網站地圖之前請創建指定目錄 ""%s""。"
"Please define correct path","請定義正確的路徑"
"Please make sure that ""%s"" is writable by web-server.","請確保 web 服務器具有對 ""%s"" 的寫入權限。"
"Please use only letters (a-z or A-Z), numbers (0-9) or underscore (_) in the filename. No spaces or other characters are allowed.","文件命名時請只使用 字母 (a-z 或 A-Z), 數字 (0-9) 或者下劃線 (_) 。不允許空格或者其他字符。"
"Priority","優先級"
"Priority must be between 0 and 1","優先級必須為 0 到 1 之間"
"Products Options","商品選項"
"Sitemap","網站地圖"
"Sitemap ""%s"" has been successfully generated","網站地圖 ""%s"" 生成成功"
"Sitemap generate Warnings","生成網站地圖時的警告"
"Sitemap was successfully deleted","成功刪除網站地圖"
"Sitemap was successfully saved","成功保存網站地圖"
"Start Time","開始時間"
"Store View","商店界面"
"This sitemap no longer exists","本網站地圖不存在"
"Unable to find a sitemap to delete","找不到要刪除的網站地圖"
"Unable to find a sitemap to generate","找不到要生成的網站地圖"
"Unable to generate a sitemap","無法生成網站地圖"
"Valid values range from 0.0 to 1.0","取值範圍從 0.0 到 1.0"
"Weekly","每週"
"Yearly","每年"
