"# of Uses","使用次數"
"Action","操作"
"Actions","操作"
"Add New Tag","增添新標籤"
"Add Tags","增添標籤"
"Add Your Tags:","添加您的標籤："
"Add to Cart","添加到購物袋"
"Add to Wishlist","加入收藏"
"All Tags","所有標籤"
"Approved","批准"
"Back","返回"
"Back to Tags List","返回標籤列表"
"Back to view Tag","返回查看標籤"
"Block Information","區塊信息"
"CSV","CSV"
"Change status","更改狀態"
"Click on a tag to view your corresponding products.","點擊標籤查看相應的商品。"
"Country","國家"
"Customer Since","註冊日期"
"Customers","顧客"
"Customers Tagged '%s'","顧客標籤過的'%s'"
"Delete","刪除"
"Delete Tag","刪除標籤"
"Disabled","禁用"
"Edit Tag","修改標籤"
"Edit Tag '%s'","編輯標籤'%s'"
"Email","電郵"
"First Name","名字"
"General Information","基本信息"
"Grid","多欄"
"ID","編號"
"Last Name","姓氏"
"List","單欄"
"My Recent Tags","我最近的標籤"
"My Tags","我的標籤"
"Name","姓名"
"New Tag","新標籤"
"No matches found.","無匹配的標籤。"
"Other people marked this product with these tags:","其它顧客於商品的標籤："
"Pending","待審"
"Pending Tags","待審標籤"
"Popular","熱門"
"Popular Tags","熱門標籤"
"Popularity","熱門度"
"Price","價格"
"Product Name","商品名字"
"Product SKU","商品號碼"
"Product Tags","商品標籤"
"Products","商品"
"Products Tagged with '%s'","'%s'標籤的商品"
"Products tagged with '%s'","'%s'標籤的商品"
"Products tagged with '%s' (<a href='%s'>RSS</a>)","標記為'%s'的商品 (<a href='%s'>RSS</a>)"
"Save Tag","儲存標籤"
"Search Results for '%s' (<a href='%s'>RSS</a>)","%s'的搜索結果 (<a href='%s'>RSS</a>)"
"Search Terms","搜索關鍵詞"
"Status","狀態"
"Tag","標籤"
"Tag ""%s"" has already been added to the product","已為指定商品添加標籤 ""%s"""
"Tag Information","標籤信息"
"Tag Name","標籤名字"
"Tag Name: %s","標籤名稱：%s"
"Tagged in","登記的標籤"
"Tags","標籤"
"Tags:","標籤："
"Telephone","電話"
"Uses","使用"
"View All","查看全部"
"View All Tags","查看所有標籤"
"View Customers","查看顧客"
"View Products","查看商品"
"Visible In","可見於"
"XML","XML"
"ZIP/Post Code","郵編"
