"-- Please Select --","-- 請選擇 --"
"Add New Class","增加新稅種"
"Add New Tax Rate","增加新稅率"
"Add New Tax Rule","增加新稅則"
"Apply Discount On Prices Including Tax","折扣在含稅價格上進行"
"Apply Tax After Discount","折扣後計算稅收"
"Apply Tax On","對如下價格計算稅收"
"Are you sure you want to do this?","確定要這麼做？"
"Back","返回"
"CSV","CSV"
"Calculation","計算"
"Catalog prices include tax","目錄價格包含稅收"
"Class Name","稅種名稱"
"Code","代號"
"Country","國家"
"Country/Region/Postal code combination","Country/Region/Postal code combination"
"County","國家"
"Custom price if available","自定義價格（若有）"
"Customer Tax Class","顧客稅種"
"Customer Tax Class Information","顧客稅種信息"
"Customer Tax Classes","顧客稅種"
"Default Country","默認國家"
"Default Post Code","默認郵編"
"Default State","默認省份"
"Default Tax Origin Calculation","默認稅收地計算"
"Delete Class","刪除稅種"
"Delete Rate","刪除稅率"
"Delete Rule","刪除稅則"
"Display","顯示"
"Display Cart/Order Prices","顯示購物車/訂單價格"
"Display Product Prices","顯示商品價格"
"Display Shipping Prices","顯示配送價格"
"Display Zero Tax Subtotal","顯示0稅小計""
Edit Class"""
"Display full tax summary","顯示完整稅收說明"
"Edit Class","修改稅率"
"Edit Class '%s'","修改稅種'%s'"
"Edit Rule","修改稅則"
"Edit Tax Rate","修改稅率"
"Error while deleting this class. Please try again later.","刪除該稅種時出錯，請稍後重試。"
"Error while deleting this rate. Incorrect rate ID","刪除該稅率時出錯，稅率編號不正確"
"Error while deleting this rate. Please try again later.","刪除該稅率時出錯，請稍後重試。"
"Error while deleting this tax rule. Please try again later.","刪除該稅則時出錯，請稍後重試。"
"Error while saving this rate. Please try again later.","保存該稅率時出錯，請稍後重試。"
"Error while saving this tax class. Class with the same name ","保存該稅種時出錯，稅種名重複"
"Error while saving this tax class. Please try again later.","保存該稅種時出錯，請稍後重試。"
"Error while saving this tax rule. Please try again later.","保存該稅則時出錯，請稍後重試。"
"Error while saving this tax rule. This product tax class, customer tax class and tax rate combination","保存此稅則出現錯誤。此商品稅種、客戶稅種及稅率組合"
"Excl. Tax","不含稅"
"Excl. Tax:","不含稅:"
"Excluding tax","不含稅"
"Export Tax Rates","導出稅率"
"Ignored when 'Apply Tax After Discount' option is enabled","若啟用「在折扣後計算稅收」選項，此項將被忽略"
"Import / Export Tax Rates","導入 / 導出稅率"
"Import Tax Rates","導入稅率"
"Inc. Tax","含稅"
"Incl. Tax","含稅"
"Incl. Tax:","含稅:"
"Including and excluding tax","含稅和不含稅"
"Including tax","含稅"
"Incorrect rate Data","稅率數據不正確"
"Invalid data for tax rate calculation","稅率計算數據不正確"
"Invalid file format upload attempt","上傳文件格式錯誤"
"Invalid file upload attempt","上傳文件格式錯誤"
"Manage Customer Tax Classes","顧客稅種管理"
"Manage Product Tax Classes","商品稅種管理"
"Manage Tax Rates","稅率管理"
"Manage Tax Rules","稅則管理"
"Manage Tax Zones & Rates","管理稅區和稅率"
"Name","姓名"
"New Class","新稅種"
"New Rule","新稅則"
"New Tax Rate","新稅率"
"None","無"
"One of the country has invalid code.","某個國家代號錯誤"
"Original price only","僅限原價"
"Please select Country","請選擇國家"
"Please select County","請選擇國家"
"Please select State","請選擇省份"
"Priority","優先級"
"Product Tax Class","商品稅種"
"Product Tax Class Information","商品稅種信息"
"Product Tax Classes","商品稅種"
"Rate","稅率"
"Reset","重置"
"Sales","銷售"
"Save Class","保存稅種"
"Save Rate","保存稅率"
"Save Rule","保存稅則"
"Shipping prices include tax","配送價格包含稅收"
"Sort Order","排序"
"State","省份"
"State/Region","省份/地區"
"Tax","稅"
"Tax Based On","稅收標準"
"Tax Class for Shipping","配送稅種"
"Tax Classes","稅種"
"Tax Identifier","稅號"
"Tax Rate","稅率"
"Tax Rate Information","稅率信息"
"Tax Rule Information","稅則信息"
"Tax Rules","稅則"
"Tax Section","稅單元"
"Tax Titles","稅率標題"
"Tax class was successfully deleted","成功刪除稅種"
"Tax class was successfully saved","成功保存稅種"
"Tax rate was successfully deleted","成功刪除稅率"
"Tax rate was successfully imported","成功導入稅率"
"Tax rate was successfully saved","成功保存稅率"
"Tax rates at the same priority are added, others are compounded.","處於同一優先級的稅率將被添加，其餘將被累加。"
"Tax rule was successfully deleted","成功刪除稅則"
"Tax rule was successfully saved","成功保存稅則"
"This class no longer exists","此稅種不存在"
"This rule no longer exists","此稅則不存在"
"XML","XML"
"You cannot delete this tax class as it is used for %d customer groups.","此稅種用於%d分組，不能刪除。"
"You cannot delete this tax class as it is used for %d products.","此稅種用於%d商品，不能刪除。"
"You cannot delete this tax class as it is used in Tax Rules. You have to delete the rules it is used in first.","此稅種用於稅則中，不能刪除。先刪除該稅則再刪除此稅種。"
"Zip/Post Code","郵編"
